Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
10300,1859.8,21.0,131.4,119.1,1242.0,3210.0,30.0,
10400,1859.9,33.3,58.9,119.1,1242.0,3210.0,30.0,
10500,1867.8,109.4,44.7,119.1,1242.0,3210.0,30.0,
10600,1864.7,145.3,70.4,128.9,1242.0,3210.0,30.0,
10700,1873.0,160.9,100.6,119.1,1242.0,3210.0,30.0,
10900,1858.6,233.6,180.6,97.7,1264.0,3370.0,30.0,
11000,1871.7,265.3,210.5,95.7,1132.0,3668.0,30.0,
11100,1866.1,33.1,220.1,95.7,623.0,2507.0,23.0,
11200,1859.8,22.4,220.0,95.7,623.0,2507.0,23.0,
11300,1858.3,23.1,220.0,95.7,623.0,2507.0,23.0,
11400,1864.8,20.7,220.1,95.7,623.0,2507.0,23.0,
11500,1862.3,20.3,217.1,119.1,623.0,2507.0,23.0,
11600,1860.2,20.7,210.2,121.1,623.0,2507.0,23.0,
11700,1860.9,23.4,197.7,121.1,623.0,2507.0,23.0,
11900,1857.7,20.0,128.7,119.1,623.0,2507.0,23.0,
12000,1859.3,22.1,69.5,121.1,623.0,2507.0,23.0,
12100,1874.4,71.1,40.1,121.1,623.0,2507.0,23.0,
12200,1853.1,129.7,72.5,119.1,623.0,2507.0,23.0,
12300,1867.2,228.2,109.9,97.7,623.0,2507.0,23.0,
12400,1864.1,217.8,147.3,97.7,974.0,3028.0,30.0,
12500,1866.2,188.0,180.0,97.7,974.0,3028.0,30.0,
12600,1853.1,157.4,216.4,97.7,887.0,2870.0,30.0,
12700,1863.0,36.6,224.5,97.7,887.0,2870.0,30.0,
12900,1859.4,20.9,224.4,97.7,887.0,2870.0,30.0,
13000,1859.4,21.4,224.4,97.7,887.0,2870.0,30.0,
13100,1857.5,20.6,222.5,119.1,887.0,2870.0,30.0,
13200,1859.7,21.2,214.1,121.1,887.0,2870.0,30.0,
13300,1859.9,25.3,197.5,121.1,887.0,2870.0,30.0,
13400,1858.2,21.6,171.5,121.1,887.0,2870.0,30.0,
13500,1861.4,22.3,136.8,121.1,887.0,2870.0,30.0,
13600,1860.3,19.6,65.3,119.1,887.0,2870.0,30.0,
13700,1855.9,105.9,42.3,119.1,887.0,2870.0,30.0,
13900,1852.9,145.9,107.4,119.1,887.0,2870.0,30.0,
14000,1829.6,217.8,142.2,97.7,887.0,2870.0,30.0,
14100,1853.0,241.4,174.4,97.7,887.0,2870.0,30.0,
14200,1852.6,229.3,204.8,97.7,1557.0,3876.0,30.0,
14300,1859.1,43.4,221.7,97.7,1557.0,3876.0,30.0,
14400,1860.5,22.3,221.7,97.7,1557.0,3876.0,30.0,
14500,1860.5,19.0,221.6,97.7,1557.0,3876.0,30.0,
14600,1859.7,22.5,221.6,97.7,1557.0,3876.0,30.0,
14700,1860.6,21.1,219.2,119.1,1557.0,3876.0,30.0,
14900,1858.4,21.7,195.8,119.1,1557.0,3876.0,30.0,
15000,1862.6,22.6,172.1,119.1,1557.0,3876.0,30.0,
15100,1860.4,20.0,139.5,119.1,1557.0,3876.0,30.0,
15200,1859.8,19.4,89.1,119.1,1557.0,3876.0,30.0,
15300,1858.1,61.7,37.7,119.1,1557.0,3876.0,30.0,
15400,1868.2,136.3,61.1,121.1,1557.0,3876.0,30.0,
15500,1863.7,128.4,81.1,121.1,1557.0,3876.0,30.0,
15600,1869.4,116.4,97.7,97.7,1557.0,3876.0,30.0,
15700,1865.8,97.3,114.6,97.7,1557.0,3876.0,30.0,
15900,1866.3,43.6,133.8,97.7,1557.0,3876.0,30.0,
16000,1858.2,21.9,133.8,97.7,1557.0,3876.0,30.0,
16100,1859.1,21.1,133.8,95.7,1557.0,3876.0,30.0,
16200,1861.8,21.4,133.8,95.7,1557.0,3876.0,30.0,
16300,1861.4,20.6,131.2,119.1,1557.0,3876.0,30.0,
16400,1858.9,20.0,122.1,119.1,1557.0,3876.0,30.0,
16500,1857.6,21.6,109.8,121.1,1557.0,3876.0,30.0,
16600,1858.3,17.8,95.3,121.1,1557.0,3876.0,30.0,
16700,1858.8,24.5,74.2,119.1,1557.0,3876.0,30.0,
16900,1865.8,78.2,36.8,119.1,1557.0,3876.0,30.0,
17000,1873.2,89.0,58.7,121.1,1557.0,3876.0,30.0,
17100,1852.0,104.7,78.6,128.9,1557.0,3876.0,30.0,
17200,1868.7,143.7,95.4,127.0,1557.0,3876.0,30.0,
17300,1865.9,132.1,109.4,97.7,1557.0,3876.0,30.0,
17400,1874.1,138.5,125.9,97.7,1557.0,3876.0,30.0,
17500,1854.6,62.0,145.5,97.7,1557.0,3876.0,30.0,
17600,1859.5,28.6,145.5,95.7,1557.0,3876.0,30.0,
17700,1860.4,25.3,145.5,95.7,1557.0,3876.0,30.0,
17900,1861.4,24.9,143.4,105.5,1557.0,3876.0,30.0,
18000,1860.1,21.1,135.9,119.1,1557.0,3876.0,30.0,
18100,1858.6,22.4,125.5,121.1,1557.0,3876.0,30.0,
18200,1860.5,22.4,113.4,121.1,1557.0,3876.0,30.0,
18300,1862.0,23.4,100.1,121.1,1557.0,3876.0,30.0,
18400,1857.9,20.3,78.5,121.1,1557.0,3876.0,30.0,
18500,1860.7,105.9,38.8,119.1,1557.0,3876.0,30.0,
18600,1862.4,133.4,61.1,119.1,1557.0,3876.0,30.0,
18700,1863.2,131.8,88.9,97.7,1557.0,3876.0,30.0,
18900,1849.3,225.1,145.1,95.7,1557.0,3876.0,30.0,
19000,1859.2,227.9,179.1,95.7,1423.0,3880.0,30.0,
19100,1852.3,99.7,207.9,97.7,1518.0,4012.0,30.0,
19200,1859.7,23.8,207.8,97.7,1518.0,4012.0,30.0,
19300,1862.3,20.2,207.7,97.7,1518.0,4012.0,30.0,
