wall_time,timestamp_ms,emg_raw,emg_env,rms,mdf,rms_slope,mdf_slope,fatigue_detected,consecutive,is_running,is_stimulating,history_count,baseline_rms,rms_ratio,muscle_state,marker
2026-06-14T23:59:39.105816,5351117,1853.32,112.5804,0,64.45313,,,false,,true,true,,,,,
2026-06-14T23:59:40.006572,5352017,1864.59,20.81284,108.1225,76.17188,,,false,,true,true,,,,,
2026-06-14T23:59:41.025734,5353018,1859.48,31.35086,119.7903,66.40625,,,false,,true,true,,,,,
2026-06-14T23:59:42.014823,5354018,1823.24,123.5633,87.51001,125,,,false,,true,true,,,,,
2026-06-14T23:59:43.035369,5355018,1859.57,21.7443,96.62341,60.54688,,,false,,true,true,,,,,
2026-06-14T23:59:44.025630,5356018,1868.89,93.64037,120.1002,193.3594,,,false,,true,true,,,,,
2026-06-14T23:59:45.015735,5357018,1861.77,25.70049,47.70244,68.35938,,,false,,true,true,,,,,
2026-06-14T23:59:46.036878,5358018,1863.94,22.71332,115.6185,193.3594,,,false,,true,true,,,,,
2026-06-14T23:59:47.024291,5359018,1866.91,77.85143,73.13991,128.9063,,,false,,true,true,,,,,
2026-06-14T23:59:48.016020,5360018,1861.15,19.81108,74.48804,70.3125,,,false,,true,true,,,,,
2026-06-14T23:59:49.034409,5361018,1862.11,41.14077,120.746,64.45313,,,false,,true,true,,,,,
2026-06-14T23:59:50.024099,5362018,1866.28,77.46973,41.23256,58.59375,,,false,,true,true,,,,,
2026-06-14T23:59:51.013258,5363018,1862.15,21.95021,112.9506,62.5,,,false,,true,true,,,,,
2026-06-14T23:59:52.034116,5364018,1860.84,60.09498,66.15909,66.40625,,,false,,true,true,,,,,
2026-06-14T23:59:53.023945,5365018,1857.39,21.90203,83.79234,64.45313,,,false,,true,true,,,,,
2026-06-14T23:59:54.043725,5366018,1860.74,26.73433,90.64691,68.35938,,,false,,true,true,,,,,
2026-06-14T23:59:55.034984,5367018,1832.9,106.6875,95.43654,130.8594,,,false,,true,true,,,,,
2026-06-14T23:59:56.024135,5368018,1860.54,26.44616,77.169,62.5,,,false,,true,true,,,,,
2026-06-14T23:59:57.014857,5369018,1882.97,70.09151,123.2971,195.3125,,,false,,true,true,,,,,
2026-06-14T23:59:58.034549,5370018,1863.16,26.97395,35.35814,66.40625,,,false,,true,true,,,,,
2026-06-14T23:59:59.023648,5371018,1859.45,22.6821,120.1495,126.9531,,,false,,true,true,,,,,
2026-06-15T00:00:00.014401,5372018,1865.88,101.358,77.04033,66.40625,,,false,,true,true,,,,,
2026-06-15T00:00:01.034476,5373018,1860.59,20.44401,76.44994,117.1875,,,false,,true,true,,,,,
2026-06-15T00:00:02.023732,5374018,1857.65,23.75563,122.1911,66.40625,,,false,,true,true,,,,,
2026-06-15T00:00:03.012875,5375018,1870.45,105.5986,59.36278,68.35938,,,false,,true,true,,,,,
2026-06-15T00:00:04.063240,5376018,1860.7,21.93687,121.1961,58.59375,,,false,,true,true,,,,,
2026-06-15T00:00:05.023374,5377018,1869.41,74.29134,113.9483,66.40625,,,false,,true,true,,,,,
2026-06-15T00:00:06.015877,5378018,1859.98,24.29016,45.67303,82.03125,,,false,,true,true,,,,,
2026-06-15T00:00:07.034125,5379018,1855.92,24.27864,127.0205,66.40625,,,false,,true,true,,,,,
2026-06-15T00:00:08.023596,5380018,1865.98,72.36424,54.77263,66.40625,,,false,,true,true,,,,,
2026-06-15T00:00:09.014118,5381018,1858.95,25.33005,102.082,83.98438,,,false,,true,true,,,,,
2026-06-15T00:00:10.034115,5382018,1859.36,25.3038,80.93015,70.3125,,,false,,true,true,,,,,
2026-06-15T00:00:11.023598,5383018,1851.66,110.5325,52.38927,119.1406,,,false,,true,true,,,,,
2026-06-15T00:00:12.014338,5384018,1862.12,22.77436,110.3217,60.54688,,,false,,true,true,,,,,
2026-06-15T00:00:13.034053,5385018,1839.7,87.55279,111.2622,160.1563,,,false,,true,true,,,,,
2026-06-15T00:00:14.023588,5386018,1859.3,21.41675,53.41309,66.40625,,,false,,true,true,,,,,
2026-06-15T00:00:15.014026,5387018,1861.16,34.96652,107.8115,193.3594,,,false,,true,true,,,,,
2026-06-15T00:00:16.033946,5388018,1837.4,132.7008,96.40134,162.1094,,,false,,true,true,,,,,
2026-06-15T00:00:17.023301,5389018,1861.13,21.13856,77.5506,64.45313,,,false,,true,true,,,,,
2026-06-15T00:00:18.013829,5390018,1866.35,84.0537,120.9344,193.3594,,,false,,true,true,,,,,
2026-06-15T00:00:19.033707,5391018,1859.93,29.68176,32.77114,58.59375,,,false,,true,true,,,,,
2026-06-15T00:00:20.023408,5392018,1859.26,21.43463,108.9354,166.0156,,,false,,true,true,,,,,
2026-06-15T00:00:21.014190,5393018,1867.65,80.62617,101.7452,160.1563,,,false,,true,true,,,,,
2026-06-15T00:00:22.033674,5394018,1860.67,16.29712,53.45071,82.03125,,,false,,true,true,,,,,
2026-06-15T00:00:23.022948,5395018,1861.22,16.7839,114.6542,66.40625,,,false,,true,true,,,,,
2026-06-15T00:00:24.013147,5396018,1874.87,69.77222,41.10338,74.21875,,,false,,true,true,,,,,
2026-06-15T00:00:25.063368,5397018,1858.58,34.80902,111.3052,64.45313,,,false,,true,true,,,,,
2026-06-15T00:00:26.023193,5398018,1855.65,79.69923,83.16801,64.45313,,,false,,true,true,,,,,
