Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,1862.4,16.8,0.0,185.5,0.0,0.0,0.0,
100,1862.7,18.9,0.0,185.5,0.0,0.0,0.0,
200,1863.3,84.1,0.0,185.5,0.0,0.0,0.0,
300,1858.0,86.7,0.0,185.5,0.0,0.0,0.0,
400,1867.7,91.0,0.0,185.5,0.0,0.0,0.0,
500,1860.7,76.7,0.0,70.3,0.0,0.0,0.0,
600,1863.1,64.5,0.0,70.3,0.0,0.0,0.0,
700,1855.5,60.8,0.0,95.7,0.0,0.0,0.0,
800,1869.5,29.3,0.0,97.7,0.0,0.0,0.0,
900,1860.4,28.1,95.3,97.7,0.0,0.0,0.0,
1000,1858.5,16.4,96.1,97.7,0.0,0.0,0.0,
1100,1861.1,19.0,96.0,95.7,0.0,0.0,0.0,
1200,1863.6,15.0,96.1,97.7,0.0,0.0,0.0,
1300,1865.0,16.2,84.7,113.3,0.0,0.0,0.0,
1400,1861.8,14.4,75.1,203.1,0.0,0.0,0.0,
1500,1860.1,18.1,67.5,175.8,0.0,0.0,0.0,
1600,1863.5,14.8,55.2,162.1,0.0,0.0,0.0,
1800,1861.3,102.0,29.1,207.0,0.0,0.0,0.0,
1900,1875.5,78.0,50.1,107.4,0.0,0.0,0.0,
2000,1853.5,79.0,65.4,66.4,0.0,0.0,0.0,
2100,1856.4,90.1,76.1,66.4,0.0,0.0,0.0,
2200,1859.0,75.8,83.9,93.8,0.0,0.0,0.0,
2300,1878.5,73.2,91.3,97.7,0.0,0.0,0.0,
2400,1857.4,37.3,98.6,97.7,0.0,0.0,0.0,
2500,1858.1,40.5,100.8,97.7,0.0,0.0,0.0,
2600,1862.5,16.6,101.7,95.7,0.0,0.0,0.0,
2800,1861.0,16.0,101.8,113.3,0.0,0.0,0.0,
2900,1865.6,17.3,91.7,121.1,0.0,0.0,0.0,
3000,1864.3,15.6,80.7,132.8,0.0,0.0,0.0,
3100,1863.8,16.1,70.6,187.5,0.0,0.0,0.0,
3200,1858.2,18.3,61.1,207.0,0.0,0.0,0.0,
3300,1863.2,19.7,49.7,162.1,0.0,0.0,0.0,
3400,1861.2,119.3,32.9,210.9,0.0,0.0,0.0,
3500,1862.3,100.8,48.4,140.6,0.0,0.0,0.0,
3600,1861.0,74.0,69.2,70.3,0.0,0.0,0.0,
3800,1859.7,93.7,87.2,95.7,0.0,0.0,0.0,
3900,1871.2,87.8,94.6,97.7,0.0,0.0,0.0,
4000,1861.1,39.4,103.0,97.7,0.0,0.0,0.0,
4100,1858.0,34.2,106.0,95.7,0.0,0.0,0.0,
4200,1864.2,24.3,106.4,95.7,0.0,0.0,0.0,
4300,1863.4,17.0,106.5,97.7,0.0,0.0,0.0,
4400,1861.2,26.6,106.7,93.8,0.0,0.0,0.0,
4500,1863.3,19.8,98.8,87.9,0.0,0.0,0.0,
4600,1859.9,18.7,84.5,99.6,0.0,0.0,0.0,
4800,1859.3,18.1,65.8,109.4,0.0,0.0,0.0,
4900,1861.0,16.5,54.7,201.2,0.0,0.0,0.0,
5000,1861.7,91.0,36.7,160.2,0.0,0.0,0.0,
5100,1855.7,117.5,50.5,121.1,0.0,0.0,0.0,
5200,1858.3,86.7,68.5,93.8,0.0,0.0,0.0,
5300,1869.5,74.5,79.5,95.7,0.0,0.0,0.0,
5400,1859.4,73.4,87.4,95.7,0.0,0.0,0.0,
5500,1862.3,85.9,94.0,95.7,0.0,0.0,0.0,
5600,1859.0,45.4,100.6,95.7,0.0,0.0,0.0,
5800,1861.0,19.8,105.7,97.7,0.0,0.0,0.0,
5900,1860.8,26.7,105.9,97.7,0.0,0.0,0.0,
6000,1861.3,26.0,106.0,91.8,0.0,0.0,0.0,
6100,1859.8,23.6,97.3,70.3,0.0,0.0,0.0,
6200,1864.4,17.8,85.6,93.8,0.0,0.0,0.0,
6300,1859.2,16.4,75.4,103.5,0.0,0.0,0.0,
6400,1861.6,16.5,65.8,101.6,0.0,0.0,0.0,
6500,1859.9,18.2,55.3,119.1,0.0,0.0,0.0,
6600,1864.3,75.4,42.3,158.2,0.0,0.0,0.0,
6800,1860.8,96.3,66.2,93.8,0.0,0.0,0.0,
6900,1867.6,75.1,75.0,93.8,0.0,0.0,0.0,
7000,1866.5,71.5,82.2,95.7,0.0,0.0,0.0,
7100,1855.3,68.6,89.8,95.7,0.0,0.0,0.0,
7200,1857.0,43.6,96.1,95.7,0.0,0.0,0.0,
7300,1861.0,25.5,99.0,97.7,0.0,0.0,0.0,
7400,1864.7,24.3,99.4,97.7,0.0,0.0,0.0,
7500,1863.9,25.0,99.5,97.7,0.0,0.0,0.0,
7600,1860.8,19.3,99.7,95.7,0.0,0.0,0.0,
7800,1860.5,20.6,79.4,95.7,0.0,0.0,0.0,
7900,1860.4,17.3,71.2,103.5,0.0,0.0,0.0,
8000,1860.5,18.8,62.4,103.5,0.0,0.0,0.0,
8100,1864.7,19.0,50.4,103.5,0.0,0.0,0.0,
8200,1862.2,79.3,35.8,138.7,0.0,0.0,0.0,
8300,1866.5,84.5,45.3,132.8,0.0,0.0,0.0,
8400,1854.1,73.8,63.9,93.8,0.0,0.0,0.0,
8500,1867.2,96.9,72.8,93.8,0.0,0.0,0.0,
8600,1858.1,84.4,81.6,93.8,0.0,0.0,0.0,
