wall_time,timestamp_ms,emg_raw,emg_env,rms,mdf,rms_slope,mdf_slope,fatigue_detected,consecutive,is_running,is_stimulating,history_count,baseline_rms,rms_ratio,muscle_state,marker
2026-07-28T15:12:15.339131,6114435,1859.41,9.665376,0,0,,,false,,true,true,,,,,
2026-07-28T15:12:15.939510,6115035,1872.06,107.121,0,207.4541,,,false,,true,true,,,,,
2026-07-28T15:12:16.928919,6116035,1860.56,6.43467,146.343,94.1598,,,false,,true,true,,,,,
2026-07-28T15:12:17.952874,6117035,1910.77,114.5525,407.1038,30.24382,,,false,,true,true,,,,,
2026-07-28T15:12:18.940340,6118035,1862.55,8.151468,406.1726,83.17613,,,false,,true,true,,,,,
2026-07-28T15:12:19.929870,6119035,1861.35,6.7579,208.3645,35.76535,,,false,,true,true,,,,,
2026-07-28T15:12:20.950151,6120035,1852.57,186.2145,161.6173,37.46727,,,false,,true,true,,,,,
2026-07-28T15:12:21.940066,6121035,1859.54,8.333698,137.884,130.5189,,,false,,true,true,,,,,
2026-07-28T15:12:22.930818,6122035,1848.98,62.34734,178.4101,29.18107,,,false,,true,true,,,,,
2026-07-28T15:12:23.980413,6123035,1860.27,154.0763,180.9675,90.91711,,,false,,true,true,,,,,
2026-07-28T15:12:24.939210,6124035,1861.39,7.241127,152.1421,29.91943,,,false,,true,true,,,,,
2026-07-28T15:12:25.930891,6125035,1977.1,202.2502,166.4799,37.92646,,,false,,true,true,,,,,
2026-07-28T15:12:26.949858,6126035,1856.27,5.881839,174.0741,78.01962,,,false,,true,true,,,,,
2026-07-28T15:12:27.939633,6127035,1859.15,15.50042,414.5767,37.27222,,,false,,true,true,,,,,
2026-07-28T15:12:28.930012,6128035,1856.76,131.6276,399.0796,38.19714,,,false,,true,true,,,,,
2026-07-28T15:12:29.950214,6129035,1861.39,5.992889,158.0255,88.31711,,,false,,true,true,,,,,
2026-07-28T15:12:30.128773,6129235,1862.12,5.850375,157.9136,87.92336,,,false,,true,true,,,,,rest_end
2026-07-28T15:12:30.940100,6130035,1910.81,205.3818,437.9332,34.45876,,,false,,true,true,,,,,
2026-07-28T15:12:31.929540,6131035,1859.41,10.31756,439.739,76.12553,,,false,,true,true,,,,,
2026-07-28T15:12:32.949930,6132035,1856.8,9.0557,163.5275,41.68571,,,false,,true,true,,,,,
2026-07-28T15:12:33.938539,6133035,1864.06,4.845539,132.4503,87.29128,,,false,,true,true,,,,,
2026-07-28T15:12:34.928842,6134035,1861.94,7.821311,7.66651,99.64256,,,false,,true,true,,,,,
