Time(ms),ENV_Value,Marker
0,7.2,
100,4.8,
200,4.8,
300,4.4,
400,4.5,
500,4.6,
600,3.7,
700,3.7,
800,3.7,
900,145.9,
1000,137.0,
1100,100.0,
1200,85.6,
1300,123.6,
1400,105.5,
1500,39.0,
1600,8.9,
1700,5.1,
1800,3.6,
1900,3.2,
2000,3.9,
2100,3.2,
2200,2.3,
2300,2.8,
2400,3.0,
2500,97.5,
2600,162.4,
2700,133.1,
2800,100.4,
2900,70.7,
3000,112.4,
3100,50.1,
3200,7.6,
3300,5.4,
3400,3.4,
3500,3.9,
3600,5.1,
3700,2.5,
3800,3.8,
3900,2.4,
4000,3.1,
4100,84.1,
4200,97.0,
4300,138.1,
4400,113.6,
4500,91.6,
4600,77.8,
4700,68.7,
4800,7.8,
4900,6.2,
5000,4.8,
5100,4.0,
5200,4.1,
5300,3.9,
5400,4.0,
5500,4.3,
5600,3.7,
5700,87.2,
5800,129.0,
5900,100.9,
6000,92.0,
6100,124.5,
6200,111.0,
6300,97.8,
6400,9.2,
6500,7.8,
6600,5.0,
6700,3.8,
6800,3.4,
6900,4.1,
7000,3.3,
7100,3.0,
7200,3.3,
7300,39.6,
7400,165.2,
7500,125.9,
7600,95.4,
7700,79.5,
7800,129.5,
7900,120.3,
8000,9.5,
8100,6.6,
8200,7.6,
8300,4.2,
8400,6.8,
8500,4.2,
8600,3.6,
8700,6.4,
8800,3.5,
8900,3.4,
9000,113.4,
9100,144.0,
9200,133.5,
9300,99.1,
9400,80.2,
9500,114.6,
9600,13.8,
9700,10.0,
9800,5.6,
9900,3.6,
10000,4.6,
10100,4.1,
10200,4.7,
10300,2.8,
10400,13.2,
10500,4.6,
10600,121.8,
10700,99.0,
10800,131.4,
10900,156.4,
11000,118.9,
11100,84.8,
11200,13.0,
11300,6.7,
11400,4.6,
11500,3.6,
11600,4.4,
11700,8.3,
11800,3.5,
11900,3.4,
12000,2.7,
12100,2.4,
12200,149.0,
12300,122.8,
12400,100.7,
12500,123.9,
12600,155.2,
12700,125.8,
12800,17.9,
12900,7.3,
13000,4.5,
13100,4.9,
13200,3.3,
13300,3.9,
13400,4.0,
13500,3.3,
13600,2.3,
13700,3.2,
13800,113.3,
13900,132.1,
14000,121.0,
14100,109.9,
14200,95.1,
14300,132.4,
14500,6.0,
14600,4.6,
14700,5.7,
14800,7.2,
14900,5.2,
15000,3.2,
15100,2.9,
15200,3.1,
15300,10.5,
15400,124.1,
15500,93.3,
15600,121.0,
15700,139.8,
15800,122.4,
15900,108.8,
16000,38.7,
16100,7.1,
16200,5.6,
16300,3.5,
16400,3.8,
16500,5.8,
16600,3.6,
16700,3.2,
16800,3.2,
16900,2.6,
17000,132.6,
17100,125.4,
17200,97.7,
17300,94.7,
17400,150.9,
17500,138.6,
17600,49.0,
17700,6.0,
17800,4.3,
17900,5.7,
18000,3.3,
18100,2.7,
18200,2.9,
18300,2.8,
18400,3.7,
18500,4.3,
18600,79.2,
18700,133.9,
18800,124.1,
18900,99.6,
19000,89.8,
19100,153.9,
19200,65.2,
19300,5.8,
19400,5.4,
19500,4.3,
19600,2.9,
19700,3.3,
19800,2.7,
19900,2.1,
20000,2.9,
20100,2.5,
20200,79.4,
20300,97.8,
20400,125.1,
20500,131.2,
20600,109.8,
20700,101.0,
20800,87.6,
20900,7.0,
21000,4.8,
21100,7.9,
21200,4.3,
21300,3.2,
21400,3.4,
21500,3.1,
21600,2.9,
21700,2.5,
21800,67.0,
21900,118.6,
22000,97.4,
22100,100.6,
22200,140.7,
22300,122.4,
22400,112.2,
22500,10.9,
22600,5.0,
22700,4.2,
22800,3.6,
22900,4.0,
23000,4.5,
23100,7.2,
23200,2.9,
23300,3.4,
23400,14.0,
23500,126.9,
23600,115.7,
23700,97.5,
23800,81.2,
23900,135.8,
24000,149.1,
24100,9.6,
24200,4.9,
24300,5.2,
24500,3.8,
24600,3.2,
24700,2.9,
24800,3.9,
24900,3.0,
25000,3.4,
25100,98.4,
25200,113.8,
25300,126.4,
25400,104.8,
25500,85.8,
25600,109.1,
25700,11.5,
25800,3.6,
25900,3.9,
26000,4.1,
26100,2.6,
26200,2.4,
26300,2.8,
26400,3.6,
26500,2.8,
26600,4.2,
26700,118.3,
26800,84.6,
26900,101.6,
27000,137.3,
27100,111.9,
27200,90.1,
27300,13.9,
27400,16.1,
27500,7.0,
27600,8.5,
27700,14.8,
27800,34.9,
27900,9.8,
28000,4.8,
28100,4.5,
28200,3.5,
28300,144.9,
28400,115.0,
28500,90.5,
28600,93.6,
28700,123.3,
28800,123.5,
28900,18.2,
29000,4.2,
29100,3.9,
29200,7.1,
29300,4.2,
29500,2.8,
29600,3.1,
29700,3.1,
29800,3.7,
29900,123.3,
30000,116.7,
30100,116.7,
30200,99.2,
30300,81.5,
30500,24.5,
