Time(ms),ENV_Value,Marker
0,1.9,
0,1.9,
100,87.8,
100,87.8,
200,91.7,
200,91.7,
300,11.8,
300,11.8,
400,5.6,
400,5.6,
500,6.3,
500,6.3,
600,6.1,
600,6.1,
700,6.5,
700,6.5,
800,5.6,
800,5.6,
900,5.8,
900,5.8,
1000,5.9,
1000,5.9,
1100,5.8,
1100,5.8,
1200,6.6,
1200,6.6,
1300,57.8,
1300,57.8,
1400,55.2,
1400,55.2,
1500,82.3,
1500,82.3,
1600,74.3,
1600,74.3,
1700,108.1,
1700,108.1,
1800,93.8,
1800,93.8,
2000,6.0,
2000,6.0,
2100,6.1,
2100,6.1,
2200,6.9,
2200,6.9,
2300,5.9,
2300,5.9,
2400,5.7,
2400,5.7,
2500,5.6,
2500,5.6,
2600,5.8,
2600,5.8,
2700,5.9,
2700,5.9,
2800,5.8,
2800,5.8,
2900,47.5,
2900,47.5,
3000,74.1,
3000,74.1,
3100,86.2,
3100,86.2,
3200,94.4,
3200,94.4,
3300,83.0,
3300,83.0,
3400,69.1,
3400,69.1,
3500,15.3,
3500,15.3,
3600,7.3,
3600,7.3,
3700,5.6,
3700,5.6,
3800,6.1,
3800,6.1,
3900,6.0,
3900,6.0,
4000,6.0,
4000,6.0,
4100,5.6,
4100,5.6,
4200,6.6,
4200,6.6,
4300,5.9,
4300,5.9,
4400,5.4,
4400,5.4,
4500,57.9,
4500,57.9,
4600,62.4,
4600,62.4,
4700,66.2,
4700,66.2,
4800,100.0,
4800,100.0,
4900,93.4,
4900,93.4,
5000,91.4,
5000,91.4,
5100,19.0,
5100,19.0,
5200,6.7,
5200,6.7,
5300,7.1,
5300,7.1,
5400,6.0,
5400,6.0,
5500,5.0,
5500,5.0,
5600,5.9,
5600,5.9,
5700,6.8,
5700,6.8,
5800,5.4,
5800,5.4,
5900,6.2,
5900,6.2,
6000,8.4,
6000,8.4,
6100,65.2,
6100,65.2,
6200,69.4,
6200,69.4,
6300,63.9,
6300,63.9,
6400,68.3,
6400,68.3,
6500,104.3,
6500,104.3,
6600,94.7,
6600,94.7,
6700,23.1,
6700,23.1,
6800,7.1,
6800,7.1,
6900,7.7,
6900,7.7,
7000,5.1,
7000,5.1,
7100,5.6,
7100,5.6,
7200,6.6,
7200,6.6,
7300,4.7,
7300,4.7,
7400,5.8,
7400,5.8,
7500,6.5,
7500,6.5,
7600,4.7,
7600,4.7,
7700,49.9,
7700,49.9,
7800,65.8,
7800,65.8,
7900,61.6,
7900,61.6,
8000,85.5,
8000,85.5,
8100,80.2,
8100,80.2,
8200,71.1,
8200,71.1,
8300,29.1,
8300,29.1,
