Time(ms),ENV_Value,Marker
40500,8.5,
40600,7.9,
40700,5.5,
40800,5.2,
40900,5.2,
41000,5.0,
41100,5.4,
41200,4.9,
41300,69.1,
41400,89.9,
41500,91.9,
41600,94.9,
41700,77.6,
41800,63.0,
41900,47.9,
42000,8.2,
42100,7.4,
42200,8.9,
42400,5.5,
42500,5.6,
42600,4.8,
42700,4.9,
42800,5.2,
42900,70.9,
43000,79.0,
43100,77.0,
43200,88.8,
43400,75.8,
43500,65.8,
43600,7.5,
43700,8.3,
43800,10.9,
43900,6.6,
44000,7.2,
44100,5.6,
44200,5.4,
44400,6.1,
44500,47.1,
44600,99.6,
44700,85.4,
44800,72.9,
44900,87.7,
45000,90.0,
45100,80.2,
45200,8.9,
45400,9.3,
45500,6.4,
45600,6.1,
45700,4.7,
45800,5.6,
45900,6.4,
46000,4.6,
46100,4.8,
46200,85.4,
46300,97.4,
46400,95.7,
46500,75.6,
46600,65.2,
46700,72.9,
46800,11.2,
46900,6.6,
47000,7.8,
47100,8.2,
47200,5.1,
47400,5.5,
47500,4.6,
47600,4.9,
47700,5.8,
47800,90.3,
47900,56.7,
48000,83.3,
48100,96.9,
48200,79.7,
48400,12.9,
48500,6.9,
48600,9.8,
48700,7.1,
48800,6.2,
48900,5.2,
49000,4.9,
49100,5.2,
49200,6.6,
49300,4.5,
49400,97.1,
49500,83.4,
49600,74.4,
49700,91.4,
49800,93.5,
49900,84.3,
50000,16.2,
50100,8.3,
50200,8.3,
50300,6.8,
50400,6.6,
50500,4.7,
50600,4.2,
50700,4.8,
50800,4.9,
50900,4.5,
51000,107.4,
51100,107.9,
51200,106.9,
51400,86.7,
51500,104.8,
51600,24.2,
51700,7.6,
51800,12.2,
51900,7.0,
52000,5.9,
52100,7.2,
52200,6.6,
52400,5.3,
52500,5.0,
52600,87.7,
52700,103.0,
52800,150.9,
52900,116.3,
53000,80.9,
53100,57.5,
53200,23.2,
53300,8.0,
53400,9.2,
53500,9.8,
53600,6.0,
53700,6.0,
53800,4.5,
53900,5.2,
54000,5.8,
54100,4.4,
54200,92.7,
54300,83.0,
54400,68.2,
54500,90.3,
54600,92.9,
54700,80.2,
54800,31.2,
54900,7.3,
55000,8.1,
55100,10.3,
55200,7.6,
55300,5.6,
55400,4.5,
55500,6.5,
55600,4.7,
55700,5.0,
55800,99.0,
55900,99.6,
56000,88.0,
56100,81.0,
56200,81.0,
56400,40.4,
56500,7.6,
56600,7.6,
56700,11.0,
56800,5.8,
56900,7.3,
57000,6.0,
57100,4.4,
57200,5.3,
57300,5.5,
57400,70.6,
57500,83.9,
57600,99.8,
57700,102.4,
57800,86.0,
57900,74.0,
58000,55.4,
58100,9.4,
58200,9.4,
58300,7.0,
58400,5.9,
58500,5.7,
58600,4.6,
58700,5.3,
58800,5.6,
58900,5.2,
59000,73.7,
59100,95.5,
59200,79.4,
59400,104.4,
59500,85.5,
59600,71.9,
59700,8.2,
59800,6.2,
59900,14.6,
60000,6.7,
60100,4.4,
60200,5.3,
60400,4.9,
60500,5.5,
60600,50.9,
60700,120.9,
60800,90.1,
60900,74.4,
61000,97.9,
61100,100.8,
61200,90.2,
61300,9.0,
61400,6.2,
61500,8.6,
61600,6.1,
61700,6.1,
61800,5.6,
61900,4.2,
62000,6.0,
62100,6.0,
62200,8.2,
62400,95.4,
62500,100.2,
62600,85.7,
62700,76.2,
62800,92.8,
62900,12.2,
63000,7.0,
63100,6.0,
63200,7.1,
63300,7.0,
63400,6.2,
63500,5.9,
63600,5.9,
63700,4.3,
63800,5.3,
63900,79.4,
64000,75.5,
64100,96.8,
64200,100.6,
64300,86.2,
64400,70.9,
64500,13.8,
64600,5.5,
64700,9.0,
64800,6.9,
64900,4.7,
65000,5.3,
65100,5.1,
65200,4.9,
65300,5.5,
65400,5.3,
65500,116.5,
65600,95.4,
65700,80.7,
65800,98.4,
65900,101.7,
66000,87.1,
66100,16.3,
66200,5.2,
66300,8.2,
66400,5.9,
66500,5.7,
66600,5.4,
66700,4.6,
66800,5.5,
66900,5.9,
67000,5.3,
67100,115.4,
67200,107.0,
67400,86.5,
67500,83.7,
67600,96.7,
67700,22.9,
67800,6.5,
67900,5.3,
68000,6.6,
68100,5.8,
68200,5.2,
68400,6.0,
68500,4.5,
68600,4.9,
68700,74.7,
68800,71.5,
68900,100.4,
69000,105.3,
69100,83.6,
69200,69.1,
69400,7.2,
69500,4.8,
69600,6.3,
69700,6.1,
69800,5.5,
69900,5.8,
70000,4.6,
70100,5.9,
70200,5.2,
70300,96.5,
70400,88.7,
70500,82.1,
70600,105.0,
70700,108.9,
70800,83.0,
70900,32.7,
71000,6.8,
71100,10.0,
71200,6.4,
71300,5.2,
71400,5.7,
71500,4.6,
71600,5.1,
71700,6.3,
71800,4.3,
71900,89.4,
72000,109.0,
72100,99.1,
72200,83.4,
72400,89.2,
72500,43.3,
72600,6.7,
72700,7.7,
72800,6.8,
72900,8.3,
73000,4.6,
73100,5.2,
73200,6.0,
73400,6.0,
73500,65.4,
73600,89.1,
73700,95.0,
73800,106.6,
73900,87.1,
74000,76.8,
74100,55.9,
74200,6.6,
74300,8.3,
74400,8.3,
74500,5.5,
74600,5.9,
74700,6.7,
74800,5.0,
74900,5.1,
75000,5.4,
75100,75.7,
75200,89.0,
75300,80.9,
75400,103.9,
75500,107.5,
75600,80.8,
75700,67.3,
75800,10.3,
75900,6.1,
76000,5.6,
76100,5.5,
76200,5.5,
76400,5.9,
76500,5.3,
76600,4.6,
76700,51.1,
76800,118.1,
