Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,1864.8,175.7,0.0,0.0,0.0,0.0,0.0,
100,1851.8,149.2,0.0,0.0,0.0,0.0,0.0,
200,1863.9,138.0,0.0,0.0,0.0,0.0,0.0,
300,1870.7,83.0,0.0,0.0,0.0,0.0,0.0,
400,1859.0,74.9,0.0,0.0,0.0,0.0,0.0,
500,1857.7,43.9,0.0,127.0,0.0,0.0,0.0,
600,1862.9,60.3,0.0,103.5,0.0,0.0,0.0,
700,1859.3,41.2,0.0,99.6,0.0,0.0,0.0,
800,1862.3,52.9,0.0,105.5,0.0,0.0,0.0,
900,1860.2,33.2,150.7,89.8,0.0,0.0,0.0,
1000,1860.9,46.8,134.1,85.9,0.0,0.0,0.0,
1100,1859.3,35.2,114.4,82.0,0.0,0.0,0.0,
1200,1858.8,35.6,96.4,82.0,0.0,0.0,0.0,
1300,1858.3,101.0,69.7,82.0,0.0,0.0,0.0,
1400,1860.8,128.1,69.6,80.1,0.0,0.0,0.0,
1500,1858.7,82.1,76.5,70.3,0.0,0.0,0.0,
1600,1867.6,98.5,80.7,95.7,0.0,0.0,0.0,
1700,1854.3,108.1,87.9,97.7,0.0,0.0,0.0,
1900,1854.3,44.5,104.3,97.7,0.0,0.0,0.0,
2000,1863.4,38.4,106.8,95.7,0.0,0.0,0.0,
2100,1862.7,31.5,106.5,95.7,0.0,0.0,0.0,
2200,1861.8,40.2,106.2,95.7,0.0,0.0,0.0,
2300,1863.6,51.6,105.9,93.8,0.0,0.0,0.0,
2400,1860.0,29.3,100.2,87.9,0.0,0.0,0.0,
2500,1862.9,43.8,92.4,87.9,0.0,0.0,0.0,
2600,1861.0,50.0,87.8,87.9,0.0,0.0,0.0,
2700,1857.6,56.6,79.0,87.9,0.0,0.0,0.0,
2900,1859.3,116.7,58.1,84.0,0.0,0.0,0.0,
3000,1867.5,116.9,70.0,76.2,0.0,0.0,0.0,
3100,1861.1,109.3,81.6,76.2,0.0,0.0,0.0,
3200,1851.8,135.2,90.3,91.8,0.0,0.0,0.0,
3300,1856.5,105.0,100.0,95.7,0.0,0.0,0.0,
3400,1867.2,106.1,108.7,95.7,0.0,0.0,0.0,
3500,1857.0,49.4,116.4,95.7,0.0,0.0,0.0,
3600,1860.1,31.1,117.3,95.7,0.0,0.0,0.0,
3700,1860.6,28.6,116.6,95.7,0.0,0.0,0.0,
3900,1861.2,17.2,113.7,93.8,0.0,0.0,0.0,
4000,1861.4,26.2,103.4,93.8,0.0,0.0,0.0,
4100,1861.2,20.0,93.6,99.6,0.0,0.0,0.0,
4200,1859.0,21.0,84.9,119.1,0.0,0.0,0.0,
4300,1857.6,27.0,72.6,119.1,0.0,0.0,0.0,
4400,1860.9,27.6,57.0,119.1,0.0,0.0,0.0,
4500,1861.5,134.3,38.2,97.7,0.0,0.0,0.0,
4600,1863.8,157.6,54.4,85.9,0.0,0.0,0.0,
4700,1873.3,169.2,86.6,48.8,0.0,0.0,0.0,
4900,1856.0,163.5,135.4,87.9,0.0,0.0,0.0,
5000,1858.2,135.0,149.3,95.7,0.0,0.0,0.0,
5100,1861.6,56.9,161.5,97.7,0.0,0.0,0.0,
5200,1859.4,29.3,168.0,97.7,0.0,0.0,0.0,
5300,1861.5,20.4,168.3,97.7,0.0,0.0,0.0,
5400,1862.5,15.9,168.1,97.7,0.0,0.0,0.0,
5500,1856.1,17.7,168.0,99.6,0.0,0.0,0.0,
5600,1860.6,17.0,162.1,119.1,0.0,0.0,0.0,
5700,1856.2,24.4,147.1,121.1,0.0,0.0,0.0,
5900,1855.9,34.6,103.9,121.1,0.0,0.0,0.0,
6000,1857.3,37.9,83.5,119.1,0.0,0.0,0.0,
6100,1865.4,134.7,57.4,91.8,0.0,0.0,0.0,
6200,1859.1,199.8,61.9,72.3,0.0,0.0,0.0,
6300,1851.2,200.8,97.1,58.6,0.0,0.0,0.0,
6400,1868.5,176.5,126.8,70.3,0.0,0.0,0.0,
6500,1862.8,228.3,166.8,95.7,0.0,0.0,0.0,
6600,1859.9,238.4,195.3,97.7,0.0,0.0,0.0,
6700,1852.3,105.3,218.5,97.7,0.0,0.0,0.0,
6900,1861.7,39.9,234.5,97.7,0.0,0.0,0.0,
7000,1855.0,28.3,235.0,97.7,0.0,0.0,0.0,
7100,1864.3,26.9,234.8,95.7,0.0,0.0,0.0,
7200,1862.4,37.9,229.1,76.2,0.0,0.0,0.0,
7300,1858.5,47.7,216.6,85.9,0.0,0.0,0.0,
7400,1863.7,50.0,201.5,89.8,0.0,0.0,0.0,
7500,1856.9,35.0,170.9,76.2,0.0,0.0,0.0,
7600,1852.9,34.1,138.4,72.3,0.0,0.0,0.0,
7700,1858.5,85.3,99.3,70.3,0.0,0.0,0.0,
7900,1850.5,185.3,79.1,74.2,0.0,0.0,0.0,
8000,1856.6,190.6,104.0,82.0,0.0,0.0,0.0,
8100,1858.5,185.9,130.0,95.7,0.0,0.0,0.0,
8200,1871.4,184.0,159.3,97.7,0.0,0.0,0.0,
8300,1846.4,148.9,199.3,97.7,0.0,0.0,0.0,
8400,1870.6,38.7,219.6,97.7,0.0,0.0,0.0,
8500,1864.0,30.8,219.1,95.7,0.0,0.0,0.0,
8600,1863.3,37.0,218.8,95.7,0.0,0.0,0.0,
8700,1861.0,29.0,218.3,93.8,0.0,0.0,0.0,
8900,1863.5,51.9,209.8,82.0,0.0,0.0,0.0,
9000,1856.1,46.8,198.8,74.2,0.0,0.0,0.0,
9100,1854.3,38.6,183.4,70.3,0.0,0.0,0.0,
9200,1859.3,42.3,158.8,70.3,0.0,0.0,0.0,
9300,1857.9,96.8,104.6,70.3,0.0,0.0,0.0,
9400,1850.3,174.9,55.3,70.3,0.0,0.0,0.0,
9500,1860.0,144.1,83.6,70.3,0.0,0.0,0.0,
9600,1862.7,161.5,107.4,64.5,0.0,0.0,0.0,
9700,1865.1,164.1,125.2,68.4,0.0,0.0,0.0,
9900,1853.1,168.7,157.1,95.7,0.0,0.0,0.0,
10000,1860.3,38.4,172.7,97.7,0.0,0.0,0.0,
10100,1860.8,20.8,172.4,97.7,0.0,0.0,0.0,
10200,1861.9,18.2,172.0,95.7,0.0,0.0,0.0,
10300,1857.9,25.6,171.4,95.7,0.0,0.0,0.0,
10400,1858.0,26.7,168.8,95.7,0.0,0.0,0.0,
10500,1858.5,32.0,156.4,119.1,0.0,0.0,0.0,
10600,1862.2,33.1,141.2,82.0,0.0,0.0,0.0,
10700,1860.7,48.5,125.7,74.2,0.0,0.0,0.0,
10900,1859.3,88.4,85.7,85.9,0.0,0.0,0.0,
11000,1867.2,197.1,53.6,82.0,0.0,0.0,0.0,
11100,1848.8,186.4,92.3,66.4,0.0,0.0,0.0,
11200,1852.1,164.8,121.5,64.5,0.0,0.0,0.0,
11300,1871.2,163.5,141.7,66.4,0.0,0.0,0.0,
11400,1847.6,225.9,168.8,95.7,0.0,0.0,0.0,
11500,1868.4,220.4,188.5,95.7,0.0,0.0,0.0,
11600,1856.9,50.5,209.9,95.7,0.0,0.0,0.0,
11700,1859.5,27.6,210.4,95.7,0.0,0.0,0.0,
11900,1862.2,21.1,209.4,95.7,0.0,0.0,0.0,
12000,1858.2,29.1,207.0,93.8,0.0,0.0,0.0,
12100,1859.6,37.2,192.6,80.1,0.0,0.0,0.0,
12200,1860.2,28.3,176.1,82.0,0.0,0.0,0.0,
12300,1857.0,31.4,160.5,87.9,0.0,0.0,0.0,
12400,1857.7,45.2,132.0,84.0,0.0,0.0,0.0,
