Time(ms),Raw_ADC
0,1850
1,1817
2,1809
3,1869
4,1904
5,1857
6,1853
7,1882
8,1885
9,1855
10,1854
11,1875
12,1927
13,1872
14,1847
15,1872
16,1903
17,1838
18,1818
19,1809
20,1900
21,1879
22,1863
23,1863
24,1911
25,1875
26,1854
27,1845
28,1872
29,1921
30,1843
31,1842
32,1888
33,1869
34,1826
35,1813
36,1812
37,1886
38,1862
39,1857
40,1837
41,1879
42,1867
43,1854
44,1858
45,1917
46,1890
47,1840
48,1837
49,1886
50,1850
51,1819
52,1821
53,1835
54,1867
55,1859
56,1849
57,1883
58,1898
59,1860
60,1856
61,1868
62,1943
63,1872
64,1842
65,1854
66,1872
67,1838
68,1813
69,1837
70,1888
71,1883
72,1857
73,1887
74,1919
75,1875
76,1857
77,1859
78,1903
79,1938
80,1854
81,1840
82,1856
83,1867
84,1814
85,1809
86,1847
87,1905
88,1859
89,1856
90,1872
91,1893
92,1867
93,1855
94,1883
95,1911
96,1894
97,1843
98,1873
99,1894
100,1851
101,1818
102,1815
103,1853
104,1898
105,1857
106,1858
107,1910
108,1901
109,1856
110,1853
111,1856
112,1905
113,1863
114,1838
115,1887
116,1859
117,1827
118,1813
119,1808
120,1861
121,1872
122,1840
123,1818
124,1911
125,1878
126,1859
127,1856
128,1882
129,1909
130,1858
131,1831
132,1862
133,1875
134,1821
135,1815
136,1869
137,1865
138,1863
139,1858
140,1840
141,1922
142,1866
143,1859
144,1853
145,1915
146,1885
147,1841
148,1854
149,1867
150,1846
151,1817
152,1826
153,1881
154,1906
155,1854
156,1851
157,1883
158,1895
159,1858
160,1853
161,1878
162,1909
163,1866
164,1842
165,1872
166,1882
167,1829
168,1812
169,1820
170,1867
171,1872
172,1869
173,1871
174,1902
175,1873
176,1851
177,1851
178,1873
179,1933
180,1855
181,1850
182,1890
183,1870
184,1827
185,1820
186,1847
187,1850
188,1866
189,1863
190,1867
191,1919
192,1862
193,1851
194,1878
195,1895
196,1886
197,1843
198,1861
199,1877
200,1839
201,1810
202,1810
203,1854
204,1891
205,1853
206,1855
207,1903
208,1889
209,1853
210,1845
211,1874
212,1894
213,1866
214,1842
215,1866
216,1885
217,1828
218,1814
219,1818
220,1852
221,1878
222,1856
223,1866
224,1929
225,1875
226,1856
227,1863
228,1904
229,1923
230,1847
231,1839
232,1856
233,1867
234,1814
235,1824
236,1872
237,1883
238,1843
239,1855
240,1872
241,1924
242,1872
243,1856
244,1845
245,1898
246,1885
247,1843
248,1813
249,1872
250,1842
251,1814
252,1813
253,1843
254,1900
255,1859
256,1854
257,1882
258,1901
259,1856
260,1856
261,1888
262,1918
263,1866
264,1836
265,1866
266,1865
267,1829
268,1808
269,1840
270,1857
271,1879
272,1859
273,1892
274,1923
275,1881
276,1856
277,1854
278,1907
279,1917
280,1858
281,1840
282,1872
283,1868
284,1824
285,1820
286,1842
287,1875
288,1861
289,1856
290,1879
291,1885
292,1863
293,1858
294,1872
295,1874
296,1879
297,1838
298,1887
299,1891
300,1852
301,1814
302,1825
303,1839
304,1891
305,1862
306,1852
307,1920
308,1888
309,1859
310,1851
311,1875
312,1943
313,1862
314,1843
315,1840
316,1866
317,1830
318,1813
319,1839
320,1901
321,1877
322,1847
323,1857
324,1925
325,1871
326,1847
327,1853
328,1863
329,1898
330,1835
331,1834
332,1878
333,1863
334,1823
335,1822
336,1847
337,1894
338,1865
339,1854
340,1916
341,1935
342,1861
343,1853
344,1862
345,1917
346,1879
347,1837
348,1852
349,1872
350,1843
351,1819
352,1834
353,1866
354,1883
355,1851
356,1846
357,1926
358,1873
359,1858
360,1855
361,1880
362,1926
363,1855
364,1840
365,1889
366,1882
367,1830
368,1813
369,1810
370,1861
371,1873
372,1858
373,1907
374,1928
375,1872
376,1855
377,1859
378,1874
379,1905
380,1847
381,1840
382,1867
383,1863
384,1810
385,1819
386,1856
387,1883
388,1863
389,1854
390,1901
391,1920
392,1858
393,1855
394,1871
395,1894
396,1882
397,1845
398,1906
399,1893
400,1846
401,1809
402,1826
403,1827
404,1889
405,1856
406,1856
407,1965
408,1895
409,1861
410,1858
411,1870
412,1885
413,1867
414,1843
415,1872
416,1905
417,1825
418,1808
419,1819
420,1873
421,1869
422,1856
423,1911
424,1926
425,1872
426,1856
427,1853
428,1918
429,1901
430,1855
431,1846
432,1907
