Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,MW_Valid,Marker
0,1860.8,4.1,0.0,0.0,0.0,0.0,0.0,0,
100,1861.0,5.4,0.0,0.0,0.0,0.0,0.0,0,
200,1860.6,4.6,0.0,0.0,0.0,0.0,0.0,0,
300,1861.3,4.2,0.0,0.0,0.0,0.0,0.0,0,
400,1860.3,196.0,0.0,0.0,0.0,0.0,0.0,0,
500,1851.0,234.2,0.0,72.0,0.0,0.0,0.0,0,
600,1897.8,230.3,0.0,67.5,0.0,0.0,0.0,0,
700,1826.2,292.3,0.0,66.9,0.0,0.0,0.0,0,
800,1855.4,303.6,0.0,67.0,0.0,0.0,0.0,0,
900,1868.3,265.4,0.0,141.7,0.0,0.0,0.0,0,
1000,1854.0,219.7,0.0,158.5,0.0,0.0,0.0,0,
1100,1865.0,15.6,0.0,158.3,0.0,0.0,0.0,0,
1200,1861.2,4.8,0.0,141.7,0.0,0.0,0.0,0,
1300,1861.2,5.5,0.0,101.5,0.0,0.0,0.0,0,
1400,1859.4,4.8,0.0,94.2,0.0,0.0,0.0,0,
1500,1860.6,3.8,0.0,91.5,0.0,0.0,0.0,0,
1600,1860.6,5.1,228.2,100.7,0.0,0.0,0.0,0,
1700,1859.3,6.8,228.2,104.2,0.0,0.0,0.0,0,
1800,1860.8,5.2,228.2,130.3,0.0,0.0,0.0,0,
1900,1860.2,6.4,228.2,101.2,0.0,0.0,0.0,0,
2000,1860.6,6.0,228.2,85.0,0.0,0.0,0.0,0,
2100,1884.5,239.7,226.7,100.1,0.0,0.0,0.0,0,
2200,1840.2,281.6,227.4,66.2,0.0,0.0,0.0,0,
2300,1847.7,305.9,226.9,66.3,0.0,0.0,0.0,0,
2400,1866.7,262.7,225.4,66.7,0.0,0.0,0.0,0,
2600,1881.5,245.2,223.3,157.8,0.0,0.0,0.0,0,
2700,1834.8,29.4,226.7,158.3,0.0,0.0,0.0,0,
2800,1867.3,9.6,226.8,157.5,0.0,0.0,0.0,0,
2900,1861.6,7.0,226.9,99.0,0.0,0.0,0.0,0,
3000,1859.8,4.2,226.9,92.8,0.0,0.0,0.0,0,
3100,1860.0,3.4,226.9,76.7,0.0,0.0,0.0,0,
3200,1860.1,4.1,226.9,57.1,0.0,0.0,0.0,0,
3300,1860.3,4.0,226.9,86.2,0.0,0.0,0.0,0,
3400,1860.5,4.6,226.9,100.4,0.0,0.0,0.0,0,
3600,1860.3,3.8,226.9,102.6,0.0,0.0,0.0,0,
3700,1860.9,269.1,226.8,101.8,0.0,0.0,0.0,0,
3800,1851.3,306.4,226.1,65.8,0.0,0.0,0.0,0,
3900,1862.7,258.0,226.0,65.9,0.0,0.0,0.0,0,
4000,1857.9,216.8,225.0,66.4,0.0,0.0,0.0,0,
4100,1880.8,224.5,227.8,67.2,0.0,0.0,0.0,0,
4200,1842.0,292.3,225.9,157.9,0.0,0.0,0.0,0,
4300,1864.3,51.2,223.7,158.5,0.0,0.0,0.0,0,
4400,1863.7,7.2,223.4,157.8,0.0,0.0,0.0,0,
4600,1861.4,6.0,223.4,123.6,0.0,0.0,0.0,0,
4700,1860.1,5.2,223.4,107.6,0.0,0.0,0.0,0,
4800,1861.0,4.5,223.4,101.3,0.0,0.0,0.0,0,
4900,1860.8,4.2,223.4,123.9,0.0,0.0,0.0,0,
5000,1860.2,4.5,223.4,115.1,0.0,0.0,0.0,0,
5100,1860.7,4.2,223.4,110.3,0.0,0.0,0.0,0,
5200,1860.8,4.5,223.4,104.6,0.0,0.0,0.0,0,
5300,1860.2,233.3,223.4,87.3,0.0,0.0,0.0,0,
5400,1846.8,260.8,223.1,66.1,0.0,0.0,0.0,0,
5600,1883.6,249.4,218.0,66.2,0.0,0.0,0.0,0,
5700,1840.4,281.6,217.9,66.8,0.0,0.0,0.0,0,
