family,file,dur_s,n_rows,sampling_hz,has_raw,has_env,has_rms_mdf,has_mw,markers,verdict,fatigue_onset_t,mw_peak_t,mw_decline_pct,mw_saturated,rmsmdf_2sigma_onset_t,fw_fatigue_rows,analyzable,skip_reason,path
iphone_1차,env_20260614_235749.csv,135.3,1220,9.0,True,True,True,True,hard,fatigue,22.5,2.5,-55.1,False,,,True,,data_from_iphone/1차/env_20260614_235749.csv
iphone_1차,env_20260615_000151.csv,132.202,1192,9.0,True,True,True,True,"hard,medium",potentiation,,122.5,-13.0,False,,,True,,data_from_iphone/1차/env_20260615_000151.csv
iphone_1차,env_20260615_000907.csv,265.6,2393,9.0,True,True,True,True,hard,fatigue,222.5,209.1,-48.0,False,49.1,,True,,data_from_iphone/1차/env_20260615_000907.csv
iphone_1차,env_20260615_003002.csv,252.7,2277,9.0,True,True,True,True,hard,potentiation,,72.5,0.0,True,,,True,,data_from_iphone/1차/env_20260615_003002.csv
iphone_1차,env_20260615_005404.csv,111.801,1008,9.0,True,True,True,True,medium,potentiation,,102.5,-18.6,False,,,True,,data_from_iphone/1차/env_20260615_005404.csv
iphone_1차,env_20260615_005803.csv,108.1,975,9.0,True,True,True,True,,potentiation,,92.5,-0.3,False,,,True,,data_from_iphone/1차/env_20260615_005803.csv
iphone_1차,env_20260615_010823.csv,157.6,1421,9.0,True,True,True,True,hard,fatigue,49.1,32.5,-39.7,False,,,True,,data_from_iphone/1차/env_20260615_010823.csv
iphone_1차,env_20260615_011350.csv,181.702,1638,9.0,True,True,True,True,"hard,medium",potentiation,,169.1,-9.2,False,,,True,,data_from_iphone/1차/env_20260615_011350.csv
iphone_1차,env_20260615_012302.csv,190.4,1716,9.0,True,True,True,True,hard,potentiation,,55.8,0.0,True,,,True,,data_from_iphone/1차/env_20260615_012302.csv
iphone_1차,env_20260615_012619.csv,114.7,1035,9.0,True,True,True,True,,potentiation,,22.5,0.0,True,,,True,,data_from_iphone/1차/env_20260615_012619.csv
iphone_1차,env_20260615_014637.csv,561.1,5052,9.0,True,True,True,True,medium,fatigue,412.5,262.5,-70.3,False,85.8,,True,,data_from_iphone/1차/env_20260615_014637.csv
iphone_2차,env_20260713_232612.csv,149.5,1348,9.0,True,True,True,True,hard,fatigue,92.5,62.5,-30.0,True,49.1,,True,,data_from_iphone/2차/env_20260713_232612.csv
logger_subjectA,20260505_135632.csv,100.0,101,1.0,True,False,True,False,session_start,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data/subject_A/20260505_135632.csv
logger_subjectA,20260505_135830.csv,389.0,390,1.0,True,False,True,False,"session_start,session_stop",fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data/subject_A/20260505_135830.csv
logger_subjectA,20260505_140516.csv,1111.0,1112,1.0,True,False,True,False,"session_start,session_stop",fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data/subject_A/20260505_140516.csv
logger_subjectB,20260505_142457.csv,319.0,320,1.0,True,False,True,False,"session_start,session_stop",fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data/subject_B/20260505_142457.csv
logger_bench,emg_20260507_175710.csv,0.0,0,0.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_175710.csv
logger_bench,emg_20260507_175855.csv,169.0,170,1.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_175855.csv
logger_bench,emg_20260507_180213.csv,52.0,53,1.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_180213.csv
logger_bench,emg_20260507_180309.csv,83.0,84,1.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_180309.csv
logger_bench,emg_20260507_180808.csv,65.0,66,1.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_180808.csv
logger_bench,emg_20260507_181147.csv,180.0,181,1.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_181147.csv
logger_bench,emg_20260507_181751.csv,94.0,95,1.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_181751.csv
logger_bench,emg_20260507_183016.csv,126.0,127,1.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_183016.csv
logger_bench,emg_20260507_183705.csv,218.0,219,1.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_183705.csv
logger_bench,emg_20260507_193420.csv,0.0,0,0.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_193420.csv
logger_bench,emg_20260507_193948.csv,0.0,0,0.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_193948.csv
logger_bench,emg_20260507_194120.csv,95.0,96,1.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_194120.csv
logger_bench,emg_20260507_195814.csv,154.0,155,1.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_195814.csv
logger_bench,emg_20260507_211135.csv,24.0,25,1.0,True,False,True,False,,fw_none,,,,,,0.0,False,logger 계열(M-wave 없음),data_logger/data/emg_20260507_211135.csv
