wall_time,timestamp_ms,emg_raw,emg_env,rms,mdf,rms_slope,mdf_slope,fatigue_detected,consecutive,is_running,is_stimulating,history_count,baseline_rms,rms_ratio,muscle_state,marker
2026-08-16T23:41:29.010359,2125158,,1.685815,,,,,false,,true,false,,,,,
2026-08-16T23:41:29.911839,2126058,,14.13949,,,,,false,,true,false,,,,,
2026-08-16T23:41:30.902824,2127058,,11.87201,,,,,false,,true,false,,,,,
2026-08-16T23:41:31.893474,2128058,,14.11084,,,,,false,,true,false,,,,,
2026-08-16T23:41:32.913312,2129058,,14.60891,,,,,false,,true,false,,,,,
2026-08-16T23:41:33.902441,2130058,,16.28457,,,,,false,,true,false,,,,,
2026-08-16T23:41:34.892614,2131058,,13.27913,,,,,false,,true,false,,,,,
2026-08-16T23:41:35.913370,2132058,,15.1959,,,,,false,,true,false,,,,,
2026-08-16T23:41:36.907259,2133058,,13.25359,,,,,false,,true,false,,,,,
2026-08-16T23:41:37.894033,2134058,,12.79741,,,,,false,,true,false,,,,,
2026-08-16T23:41:38.913301,2135058,,15.53079,,,,,false,,true,false,,,,,
2026-08-16T23:41:39.903307,2136058,,15.49702,,,,,false,,true,false,,,,,
2026-08-16T23:41:40.892725,2137058,,14.74961,,,,,false,,true,false,,,,,
2026-08-16T23:41:41.999032,2138058,,15.5263,,,,,false,,true,false,,,,,
2026-08-16T23:41:42.903429,2139058,,15.87296,,,,,false,,true,false,,,,,
2026-08-16T23:41:43.892679,2140058,,18.34874,,,,,false,,true,false,,,,,
2026-08-16T23:41:44.011810,2140158,,19.29015,,,,,false,,true,false,,,,,rest_end
2026-08-16T23:41:44.913095,2141058,,16.38192,,,,,false,,true,false,,,,,
2026-08-16T23:41:45.904742,2142058,,12.78509,,,,,false,,true,false,,,,,
2026-08-16T23:41:46.892780,2143058,,13.26868,,,,,false,,true,false,,,,,
2026-08-16T23:41:47.912826,2144058,,18.10883,,,,,false,,true,false,,,,,
2026-08-16T23:41:48.903672,2145058,,15.26936,,,,,false,,true,false,,,,,
2026-08-16T23:41:49.892632,2146058,,12.61321,,,,,false,,true,false,,,,,
2026-08-16T23:41:50.913412,2147058,,14.41617,,,,,false,,true,false,,,,,
2026-08-16T23:41:51.902771,2148058,,11.91512,,,,,false,,true,false,,,,,
2026-08-16T23:41:52.892793,2149058,,14.29108,,,,,false,,true,false,,,,,
2026-08-16T23:41:53.913589,2150058,,13.62823,,,,,false,,true,false,,,,,
2026-08-16T23:41:54.902962,2151058,,14.31602,,,,,false,,true,false,,,,,
2026-08-16T23:41:55.891677,2152058,,14.20983,,,,,false,,true,false,,,,,
2026-08-16T23:41:56.912781,2153058,,14.833,,,,,false,,true,false,,,,,
2026-08-16T23:41:57.903287,2154058,,16.05108,,,,,false,,true,false,,,,,
2026-08-16T23:41:58.893059,2155058,,12.14511,,,,,false,,true,false,,,,,
2026-08-16T23:41:59.912889,2156058,,10.67049,,,,,false,,true,false,,,,,
2026-08-16T23:42:00.903045,2157058,,13.53189,,,,,false,,true,false,,,,,
2026-08-16T23:42:01.893421,2158058,,13.19922,,,,,false,,true,false,,,,,
2026-08-16T23:42:02.913443,2159058,,14.37821,,,,,false,,true,false,,,,,
2026-08-16T23:42:03.903101,2160058,,14.84209,,,,,false,,true,false,,,,,
2026-08-16T23:42:04.893314,2161058,,16.06089,,,,,false,,true,false,,,,,
2026-08-16T23:42:05.914390,2162058,,15.77981,,,,,false,,true,false,,,,,
2026-08-16T23:42:06.903134,2163058,,14.07735,,,,,false,,true,false,,,,,
2026-08-16T23:42:07.893015,2164058,,16.24258,,,,,false,,true,false,,,,,
2026-08-16T23:42:08.915350,2165058,,11.86556,,,,,false,,true,false,,,,,
2026-08-16T23:42:09.909542,2166058,,14.65478,,,,,false,,true,false,,,,,
2026-08-16T23:42:10.892829,2167058,,14.8877,,,,,false,,true,false,,,,,
2026-08-16T23:42:11.913833,2168058,,13.85622,,,,,false,,true,false,,,,,
2026-08-16T23:42:12.903783,2169058,,15.54303,,,,,false,,true,false,,,,,
2026-08-16T23:42:13.893097,2170058,,13.96628,,,,,false,,true,false,,,,,
2026-08-16T23:42:14.914695,2171058,,12.32644,,,,,false,,true,false,,,,,
2026-08-16T23:42:15.902975,2172058,,14.14632,,,,,false,,true,false,,,,,
2026-08-16T23:42:16.893235,2173058,,13.67136,,,,,false,,true,false,,,,,
2026-08-16T23:42:17.914889,2174058,,12.39194,,,,,false,,true,false,,,,,
2026-08-16T23:42:18.903397,2175058,,11.3683,,,,,false,,true,false,,,,,
2026-08-16T23:42:19.893454,2176058,,13.05154,,,,,false,,true,false,,,,,
2026-08-16T23:42:20.913879,2177058,,12.86208,,,,,false,,true,false,,,,,
2026-08-16T23:42:21.909004,2178058,,14.05879,,,,,false,,true,false,,,,,
2026-08-16T23:42:22.952581,2179058,,13.27157,,,,,false,,true,false,,,,,
2026-08-16T23:42:23.913721,2180058,,16.9577,,,,,false,,true,false,,,,,
2026-08-16T23:42:24.903616,2181058,,14.35142,,,,,false,,true,false,,,,,
2026-08-16T23:42:25.892570,2182058,,16.19262,,,,,false,,true,false,,,,,
2026-08-16T23:42:26.913779,2183058,,14.00965,,,,,false,,true,false,,,,,
2026-08-16T23:42:27.931128,2184058,,13.74454,,,,,false,,true,false,,,,,
2026-08-16T23:42:28.924250,2185058,,15.48486,,,,,false,,true,false,,,,,
2026-08-16T23:42:29.914012,2186058,,14.4918,,,,,false,,true,false,,,,,
2026-08-16T23:42:30.903264,2187058,,16.5334,,,,,false,,true,false,,,,,
2026-08-16T23:42:31.893731,2188058,,16.62972,,,,,false,,true,false,,,,,
2026-08-16T23:42:32.913974,2189058,,14.46423,,,,,false,,true,false,,,,,
2026-08-16T23:42:33.903556,2190058,,14.44052,,,,,false,,true,false,,,,,
2026-08-16T23:42:34.893524,2191058,,19.32842,,,,,false,,true,false,,,,,
2026-08-16T23:42:35.914096,2192058,,16.13125,,,,,false,,true,false,,,,,
2026-08-16T23:42:36.903733,2193058,,15.09695,,,,,false,,true,false,,,,,
