wall_time,timestamp_ms,emg_raw,emg_env,rms,mdf,rms_slope,mdf_slope,fatigue_detected,consecutive,is_running,is_stimulating,history_count,baseline_rms,rms_ratio,muscle_state,marker
2026-06-15T01:10:48.798535,9620732,1859.37,46.65174,0,0,,,false,,true,true,,,,,
2026-06-15T01:10:49.100519,9621032,1858.5,45.53812,0,0,,,false,,true,true,,,,,
2026-06-15T01:10:50.119951,9622033,1862.5,165.7945,144.9657,226.5625,,,false,,true,true,,,,,
2026-06-15T01:10:51.108230,9623034,1860.27,32.69798,119.0887,140.625,,,false,,true,true,,,,,
2026-06-15T01:10:52.130095,9624034,1855.93,31.16355,134.5994,197.2656,,,false,,true,true,,,,,
2026-06-15T01:10:53.119080,9625034,1880.62,67.19613,60.83028,146.4844,,,false,,true,true,,,,,
2026-06-15T01:10:54.108735,9626034,1859.83,27.18625,100.2262,121.0938,,,false,,true,true,,,,,
2026-06-15T01:10:55.129422,9627034,1878.44,115.0382,116.2936,193.3594,,,false,,true,true,,,,,
2026-06-15T01:10:56.118614,9628034,1857.06,21.15736,47.73321,134.7656,,,false,,true,true,,,,,
2026-06-15T01:10:57.110404,9629034,1861.79,28.86554,129.6379,191.4063,,,false,,true,true,,,,,
2026-06-15T01:10:58.130562,9630034,1862.63,133.3607,117.3355,197.2656,,,false,,true,true,,,,,
2026-06-15T01:10:59.117315,9631034,1863.13,24.33381,88.78392,134.7656,,,false,,true,true,,,,,
2026-06-15T01:11:00.107479,9632034,1858.99,28.92074,204.3688,226.5625,,,false,,true,true,,,,,
2026-06-15T01:11:01.158611,9633034,1845.06,140.159,131.2693,203.125,,,false,,true,true,,,,,
2026-06-15T01:11:02.117225,9634034,1859.24,22.56596,215.8122,123.0469,,,false,,true,true,,,,,
2026-06-15T01:11:03.107452,9635034,1818.81,127.1611,235.8905,226.5625,,,false,,true,true,,,,,
2026-06-15T01:11:04.127858,9636034,1862.34,29.53851,89.95715,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:05.117889,9637034,1863.16,27.58235,209.8741,228.5156,,,false,,true,true,,,,,
2026-06-15T01:11:06.108139,9638034,1860.31,137.8917,122.1989,166.0156,,,false,,true,true,,,,,
2026-06-15T01:11:07.128542,9639034,1860.92,23.90548,139.192,126.9531,,,false,,true,true,,,,,
2026-06-15T01:11:08.117039,9640034,1865.11,22.9703,139.5108,193.3594,,,false,,true,true,,,,,
2026-06-15T01:11:09.107611,9641034,1885.13,92.21258,50.49203,123.0469,,,false,,true,true,,,,,
2026-06-15T01:11:10.128456,9642034,1862.34,25.08488,90.8416,152.3438,,,false,,true,true,,,,,
2026-06-15T01:11:11.116916,9643034,1886.08,77.73212,87.84848,193.3594,,,false,,true,true,,,,,
2026-06-15T01:11:12.106659,9644034,1859.7,17.28999,49.02445,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:13.126798,9645034,1858.1,20.12593,92.41742,162.1094,,,false,,true,true,,,,,
2026-06-15T01:11:14.116428,9646034,1882.97,88.98488,65.47579,130.8594,,,false,,true,true,,,,,
2026-06-15T01:11:15.106820,9647034,1862.07,16.59625,67.38924,150.3906,,,false,,true,true,,,,,
2026-06-15T01:11:16.127230,9648034,1877.77,31.28098,104.3232,130.8594,,,false,,true,true,,,,,
2026-06-15T01:11:17.117725,9649034,1857.52,128.3473,61.27908,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:18.107114,9650034,1862.97,20.52559,139.8559,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:19.127590,9651034,1846.76,100.9491,222.1848,193.3594,,,false,,true,true,,,,,
2026-06-15T01:11:20.148954,9652034,1860.06,17.88641,136.2225,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:21.107213,9653034,1861.17,22.99291,276.5608,195.3125,,,false,,true,true,,,,,
2026-06-15T01:11:22.127401,9654034,1827.16,122.5871,141.9919,195.3125,,,false,,true,true,,,,,
2026-06-15T01:11:23.117911,9655034,1860.61,21.91349,211.0758,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:24.107038,9656034,1854.63,139.1192,195.7197,224.6094,,,false,,true,true,,,,,
2026-06-15T01:11:25.127451,9657034,1860.81,19.85693,62.19624,125,,,false,,true,true,,,,,
2026-06-15T01:11:26.118603,9658034,1861.76,18.02272,187.1725,201.1719,,,false,,true,true,,,,,
2026-06-15T01:11:27.106408,9659034,1868.28,83.79906,117.984,193.3594,,,false,,true,true,,,,,
2026-06-15T01:11:28.127232,9660034,1859.16,16.86696,104.7031,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:29.115544,9661034,1862.24,20.7596,121.8074,162.1094,,,false,,true,true,,,,,
2026-06-15T01:11:30.106379,9662034,1890.02,88.06243,58.17771,123.0469,,,false,,true,true,,,,,
2026-06-15T01:11:31.126561,9663034,1861.14,20.81582,90.03643,125,,,false,,true,true,,,,,
2026-06-15T01:11:32.146254,9664034,1885.81,87.87172,93.22592,193.3594,,,false,,true,true,,,,,
2026-06-15T01:11:33.108857,9665034,1862.9,22.04416,47.46669,132.8125,,,false,,true,true,,,,,
2026-06-15T01:11:34.125482,9666034,1862.01,18.89682,100.4147,189.4531,,,false,,true,true,,,,,
2026-06-15T01:11:35.124997,9667034,1880.11,68.74233,102.4672,191.4063,,,false,,true,true,,,,,
2026-06-15T01:11:36.106519,9668034,1859.15,17.97363,73.2207,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:37.128101,9669034,1867.79,22.88691,182.6863,130.8594,,,false,,true,true,,,,,
2026-06-15T01:11:38.115475,9670034,1830.59,129.8378,105.8735,164.0625,,,false,,true,true,,,,,
2026-06-15T01:11:39.135131,9671034,1859.73,18.88306,217.1359,134.7656,,,false,,true,true,,,,,
2026-06-15T01:11:40.126600,9672034,1842.06,138.0403,239.4227,195.3125,,,false,,true,true,,,,,
2026-06-15T01:11:41.145807,9673034,1863.41,20.7935,137.7913,136.7188,,,false,,true,true,,,,,
2026-06-15T01:11:42.105140,9674034,1861.42,20.37524,197.0625,195.3125,,,false,,true,true,,,,,
2026-06-15T01:11:43.125278,9675034,1867.23,101.0236,90.79129,136.7188,,,false,,true,true,,,,,
2026-06-15T01:11:44.117637,9676034,1861.48,20.28899,114.9827,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:45.106055,9677034,1875.25,47.42872,112.0795,193.3594,,,false,,true,true,,,,,
2026-06-15T01:11:46.126304,9678034,1868.34,81.83517,31.77863,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:47.114710,9679034,1861.96,20.88333,102.6707,136.7188,,,false,,true,true,,,,,
2026-06-15T01:11:48.104646,9680034,1887.73,84.75999,79.8054,128.9063,,,false,,true,true,,,,,
2026-06-15T01:11:49.125667,9681034,1861.99,15.55189,57.13778,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:50.175062,9682034,1860.99,19.70402,98.54223,193.3594,,,false,,true,true,,,,,
2026-06-15T01:11:51.104636,9683034,1862.69,112.0062,106.8022,189.4531,,,false,,true,true,,,,,
2026-06-15T01:11:52.125409,9684034,1862.97,21.45293,103.869,132.8125,,,false,,true,true,,,,,
2026-06-15T01:11:53.117379,9685034,1833.65,106.8989,249.3056,193.3594,,,false,,true,true,,,,,
2026-06-15T01:11:54.105069,9686034,1862.64,19.77507,55.26827,121.0938,,,false,,true,true,,,,,
2026-06-15T01:11:55.126077,9687034,1861.26,23.9141,272.9026,222.6563,,,false,,true,true,,,,,
2026-06-15T01:11:56.115243,9688034,1850.7,123.8483,151.07,193.3594,,,false,,true,true,,,,,
2026-06-15T01:11:57.104894,9689034,1859.61,20.69038,146.4558,132.8125,,,false,,true,true,,,,,
2026-06-15T01:11:58.125983,9690034,1862.15,27.14244,141.4821,195.3125,,,false,,true,true,,,,,
2026-06-15T01:11:59.114942,9691034,1886.86,97.60473,59.91552,119.1406,,,false,,true,true,,,,,
2026-06-15T01:12:00.103882,9692034,1858.89,15.66575,105.9715,119.1406,,,false,,true,true,,,,,
2026-06-15T01:12:01.125827,9693034,1874.02,83.98293,87.40355,128.9063,,,false,,true,true,,,,,
2026-06-15T01:12:02.114730,9694034,1861.28,21.48626,55.14349,121.0938,,,false,,true,true,,,,,
2026-06-15T01:12:03.104038,9695034,1862.23,17.05442,93.50066,136.7188,,,false,,true,true,,,,,
2026-06-15T01:12:04.094525,9696034,1875.98,94.24023,91.01591,162.1094,,,false,,true,true,,,,,
2026-06-15T01:12:05.115405,9697034,1861.01,20.74382,68.23517,119.1406,,,false,,true,true,,,,,
2026-06-15T01:12:06.104819,9698034,1866.01,21.75385,186.0699,191.4063,,,false,,true,true,,,,,
2026-06-15T01:12:07.126778,9699034,1841.01,147.11,92.55767,164.0625,,,false,,true,true,,,,,
2026-06-15T01:12:08.146596,9700034,1861.98,24.26323,250.9543,156.25,,,false,,true,true,,,,,
2026-06-15T01:12:09.105239,9701034,1843.86,116.1723,237.3339,193.3594,,,false,,true,true,,,,,
2026-06-15T01:12:10.126848,9702034,1858.58,19.77757,138.1848,126.9531,,,false,,true,true,,,,,
2026-06-15T01:12:11.144655,9703034,1861.81,24.93025,240.8856,201.1719,,,false,,true,true,,,,,
2026-06-15T01:12:12.103697,9704034,1848.94,110.8492,112.1017,193.3594,,,false,,true,true,,,,,
2026-06-15T01:12:13.124626,9705034,1862.17,16.18927,164.7451,121.0938,,,false,,true,true,,,,,
2026-06-15T01:12:14.116991,9706034,1836.33,78.009,223.8399,195.3125,,,false,,true,true,,,,,
2026-06-15T01:12:15.106121,9707034,1861.29,86.1226,26.89322,121.0938,,,false,,true,true,,,,,
