wall_time,timestamp_ms,emg_raw,rms,mdf,rms_slope,mdf_slope,fatigue_detected,is_running,is_stimulating,baseline_rms,rms_ratio,muscle_state
2026-05-07T21:11:36.040,841720,1861,54.83475,250,89.70555,148.7431,False,False,False,44.04576,1,idle
2026-05-07T21:11:37.026,842720,1858,39.86368,3.90625,84.25482,131.1723,False,False,False,44.04576,1,idle
2026-05-07T21:11:38.024,843720,1859,39.81831,3.90625,78.78577,113.6015,False,False,False,44.04576,1,idle
2026-05-07T21:11:39.039,844720,1859,41.3129,11.71875,73.96514,98.02723,False,False,False,44.04576,1,idle
2026-05-07T21:11:40.034,845720,1855,41.425,3.90625,68.7635,80.44661,False,False,False,44.04576,1,idle
2026-05-07T21:11:41.875,846720,1853,211.7418,3.90625,89.52017,62.86595,False,False,False,44.04576,1,idle
2026-05-07T21:11:42.028,847720,1861,519.83,3.90625,145.4907,45.28529,False,False,False,44.04576,1,idle
2026-05-07T21:11:43.048,848720,1859,572.647,85.9375,191.8216,50.59543,False,False,False,44.04576,1,idle
2026-05-07T21:11:44.029,849720,2261,301.3409,85.9375,205.1434,54.70794,False,False,False,44.04576,1,idle
2026-05-07T21:11:45.028,850720,1686,558.8161,89.84375,234.6599,58.71038,False,False,False,44.04576,1,idle
2026-05-07T21:11:46.025,851720,2538,487.5028,46.875,252.6341,51.45291,False,False,False,44.04576,1,idle
2026-05-07T21:11:47.030,852720,1858,447.5382,70.3125,264.3686,49.67305,False,False,False,44.04576,1,idle
2026-05-07T21:11:48.032,853720,1858,194.1109,58.59375,260.8205,110.6901,False,False,False,44.04576,1,idle
2026-05-07T21:11:49.240,854720,1885,249.331,125,259.4608,119.5999,False,False,False,44.04576,1,idle
2026-05-07T21:11:50.473,855720,1875,65.05612,11.71875,248.2005,103.362,False,False,False,44.04576,1,idle
2026-05-07T21:11:51.097,856720,1843,47.34081,46.875,235.8579,94.83995,False,False,False,44.04576,1,idle
2026-05-07T21:11:52.024,857720,1867,430.7093,97.65625,244.0189,96.93246,False,False,False,44.04576,1,idle
2026-05-07T21:11:53.038,858720,1853,378.3701,46.875,247.9774,87.88039,False,False,False,44.04576,1,idle
2026-05-07T21:11:54.778,859720,1847,88.39191,85.9375,236.9554,86.7114,False,False,False,44.04576,1,idle
2026-05-07T21:11:55.048,860720,578,429.2997,101.5625,242.1632,87.99765,False,False,False,44.04576,1,idle
2026-05-07T21:11:56.621,861720,2145,752.3914,101.5625,259.222,88.47289,False,False,False,44.04576,1,idle
2026-05-07T21:11:57.228,862720,1862,723.8878,62.5,271.2474,85.07312,False,False,False,44.04576,1,idle
2026-05-07T21:11:58.152,863720,1861,812.9728,62.5,283.0813,139.9785,False,False,False,44.04576,1,idle
2026-05-07T21:11:59.079,864720,1670,803.7403,42.96875,291.1336,128.756,False,False,False,44.04576,1,idle
2026-05-07T21:12:00.425,865720,1865,555.6494,54.6875,290.2554,119.6391,False,False,False,44.04576,1,idle
