Time(ms),Raw_ADC
0,1826
1,1833
2,1842
3,1840
4,1869
5,1869
6,1878
7,1882
8,1882
9,1878
10,1891
11,1894
12,1874
13,1856
14,1842
15,1824
16,1818
17,1827
18,1825
19,1838
20,1856
21,1861
22,1867
23,1880
24,1877
25,1875
26,1882
27,1885
28,1881
29,1857
30,1857
31,1843
32,1830
33,1823
34,1829
35,1839
36,1847
37,1859
38,1872
39,1872
40,1889
41,1886
42,1879
43,1889
44,1894
45,1869
46,1867
47,1845
48,1841
49,1827
50,1827
51,1831
52,1842
53,1840
54,1861
55,1870
56,1877
57,1878
58,1887
59,1877
60,1901
61,1899
62,1877
63,1863
64,1853
65,1830
66,1826
67,1824
68,1839
69,1837
70,1853
71,1859
72,1870
73,1890
74,1894
75,1883
76,1887
77,1899
78,1881
79,1870
80,1845
81,1840
82,1833
83,1814
84,1818
85,1834
86,1845
87,1853
88,1857
89,1863
90,1883
91,1888
92,1887
93,1900
94,1893
95,1877
96,1858
97,1844
98,1829
99,1826
100,1827
101,1829
102,1841
103,1854
104,1862
105,1869
106,1875
107,1886
108,1886
109,1887
110,1903
111,1883
112,1880
113,1854
114,1843
115,1814
116,1818
117,1821
118,1826
119,1840
120,1851
121,1861
122,1872
123,1871
124,1883
125,1889
126,1891
127,1902
128,1874
129,1868
130,1857
131,1840
132,1829
133,1823
134,1826
135,1840
136,1845
137,1855
138,1868
139,1885
140,1889
141,1882
142,1885
143,1885
144,1895
145,1884
146,1862
147,1843
148,1835
149,1827
150,1824
151,1839
152,1837
153,1851
154,1867
155,1872
156,1878
157,1893
158,1888
159,1889
160,1904
161,1894
162,1868
163,1865
164,1854
165,1825
166,1827
167,1826
168,1840
169,1850
170,1856
171,1862
172,1877
173,1870
174,1882
175,1878
176,1878
177,1891
178,1884
179,1872
180,1851
181,1835
182,1833
183,1823
184,1829
185,1831
186,1840
187,1854
188,1876
189,1872
190,1886
191,1889
192,1890
193,1893
194,1896
195,1873
196,1862
197,1854
198,1845
199,1827
200,1823
201,1827
202,1840
203,1853
204,1860
205,1874
206,1874
207,1878
208,1882
209,1885
210,1890
211,1899
212,1872
213,1858
214,1849
215,1837
216,1828
217,1823
218,1833
219,1841
220,1861
221,1858
222,1873
223,1888
224,1887
225,1881
226,1879
227,1898
228,1882
229,1872
230,1860
231,1842
232,1830
233,1814
234,1821
235,1826
236,1841
237,1859
238,1872
239,1874
240,1882
241,1878
242,1885
243,1891
244,1894
245,1877
246,1856
247,1843
248,1833
249,1825
250,1830
251,1839
252,1846
253,1857
254,1857
255,1871
256,1875
257,1883
258,1884
259,1888
260,1902
261,1879
262,1866
263,1855
264,1843
265,1821
266,1827
267,1829
268,1849
269,1845
270,1853
271,1863
272,1871
273,1872
274,1886
275,1881
276,1883
277,1890
278,1879
279,1872
280,1854
281,1840
282,1837
283,1834
284,1835
285,1849
286,1845
287,1856
288,1862
289,1870
290,1888
291,1878
292,1877
293,1879
294,1879
295,1873
296,1856
297,1847
298,1834
299,1840
300,1834
301,1833
302,1843
303,1847
304,1857
305,1870
306,1872
307,1877
308,1889
309,1887
310,1898
311,1879
312,1856
313,1851
314,1840
315,1834
316,1829
317,1831
318,1831
319,1846
320,1862
321,1861
322,1863
323,1879
324,1878
325,1873
326,1873
327,1887
328,1873
329,1863
330,1847
331,1837
332,1840
333,1837
334,1837
335,1842
336,1843
337,1858
338,1872
339,1874
340,1882
341,1887
342,1881
343,1894
344,1889
345,1881
346,1866
347,1860
348,1845
349,1843
350,1838
351,1839
352,1843
353,1833
354,1855
355,1859
356,1869
357,1882
358,1874
359,1884
360,1884
361,1894
362,1858
363,1851
364,1842
365,1837
366,1835
367,1834
368,1840
369,1847
370,1851
371,1871
372,1865
373,1883
374,1887
375,1883
376,1872
377,1889
378,1875
379,1873
380,1856
381,1837
382,1829
383,1826
384,1829
385,1840
386,1847
387,1859
388,1865
389,1872
390,1872
391,1879
392,1879
393,1883
394,1886
395,1867
396,1869
397,1856
398,1844
399,1830
400,1835
401,1835
402,1840
403,1852
404,1866
405,1877
406,1872
407,1883
408,1875
409,1878
410,1887
411,1879
412,1859
413,1855
414,1841
415,1824
416,1830
417,1831
418,1839
419,1840
420,1852
421,1861
422,1872
423,1879
424,1878
425,1878
426,1875
427,1887
428,1876
429,1859
430,1845
431,1848
432,1836
433,1834
434,1836
435,1841
436,1850
437,1855
438,1865
439,1873
440,1872
441,1887
442,1878
443,1872
444,1878
445,1874
446,1861
447,1849
448,1854
449,1842
450,1830
451,1840
452,1841
453,1853
454,1856
455,1872
456,1872
457,1886
458,1887
459,1876
460,1895
461,1883
462,1873
463,1850
464,1848
465,1837
466,1838
467,1834
468,1834
469,1849
470,1854
471,1855
472,1873
473,1877
474,1878
475,1872
476,1875
477,1878
478,1881
479,1857
480,1850
481,1854
482,1838
483,1837
484,1837
485,1830
486,1846
487,1071
488,2462
489,1930
490,1987
491,2080
492,2127
493,2160
494,2158
495,2131
496,2130
497,2107
498,1871
499,1643
500,1670
501,1777
502,1857
503,1873
504,1876
505,1860
506,1809
507,1731
508,1648
509,1587
510,1535
511,1514
512,1513
513,1531
514,1553
515,1571
516,1651
517,1727
518,1744
519,2599
520,1939
521,1957
522,2055
523,2133
524,2191
525,2205
526,2197
527,2240
528,2192
529,1920
530,1673
531,1645
532,1763
533,1872
534,1938
535,1956
536,1934
537,1853
538,1746
539,1618
540,1507
541,1434
542,1425
543,1485
544,1579
545,1642
546,1698
547,1769
548,1807
549,1844
550,2706
551,2002
552,1930
553,2080
554,2176
555,2224
556,2237
557,2229
558,2241
559,2195
560,1979
561,1747
562,1650
563,1743
564,1875
565,1945
566,1949
567,1914
568,1819
569,1699
570,1535
571,1441
572,1407
573,1406
574,1481
575,1578
576,1661
577,1758
578,1812
579,1846
580,1882
581,2629
582,2065
583,1904
584,2043
585,2155
586,2214
587,2251
588,2224
589,2201
590,2149
591,2047
592,1866
593,1751
594,1833
595,1950
596,1987
597,1971
598,1907
599,1810
600,1668
601,1503
602,1405
603,1364
604,1407
605,1457
606,1507
607,1599
608,1707
609,1796
610,1884
611,1904
612,2336
613,2214
614,1845
615,1955
616,2031
617,2112
618,2112
619,2034
620,1954
621,1941
622,2211
623,2176
624,2032
625,2065
626,2094
627,2093
628,2030
629,1943
630,1798
631,1622
632,1450
633,1330
634,1308
635,1354
636,1437
637,1563
638,1648
639,1740
640,1829
641,1874
642,1905
643,1937
644,2320
645,1860
646,1909
647,1987
648,2081
649,2061
650,1911
651,1726
652,1874
653,2362
654,2204
655,2145
656,2159
657,2153
658,2122
659,2059
660,1968
661,1825
662,1648
663,1456
664,1349
665,1328
666,1339
667,1404
668,1509
669,1620
670,1687
671,1763
672,1824
673,1861
674,1296
675,2430
676,1862
677,1873
678,1923
679,1969
680,1909
681,1707
682,1491
683,2125
684,2593
685,2437
686,2288
687,2231
688,2202
689,2160
690,2087
691,1977
692,1822
693,1651
694,1489
695,1376
696,1307
697,1329
698,1391
699,1477
700,1591
701,1678
702,1757
703,1822
704,1861
705,1395
706,2541
707,1905
708,1776
709,1791
710,1861
711,1772
712,1570
713,1506
714,2474
715,2754
716,2515
717,2305
718,2224
719,2191
720,2139
721,2096
722,1999
723,1870
724,1700
725,1527
726,1415
727,1374
728,1374
729,1389
730,1440
731,1569
732,1666
733,1725
734,1778
735,1830
736,1939
737,2559
738,1942
739,1715
740,1716
741,1775
742,1654
743,1520
744,1709
745,2736
746,2801
747,2544
748,2307
749,2180
750,2139
751,2119
752,2087
753,1983
754,1859
755,1707
756,1535
757,1429
758,1366
759,1359
760,1414
761,1533
762,1612
763,1669
764,1723
765,1762
766,1806
767,1831
768,2529
769,1994
770,1664
771,1600
772,1623
773,1493
774,1462
775,1876
776,2970
777,2929
778,2599
779,2330
780,2205
781,2155
782,2112
783,2058
784,1977
785,1868
786,1701
787,1535
788,1403
789,1329
790,1311
791,1347
792,1467
793,1633
794,1758
795,1808
796,1830
797,1838
798,1840
799,2393
800,2090
801,1652
802,1564
803,1563
804,1434
805,1424
806,1930
807,3018
808,2915
809,2583
810,2305
811,2221
812,2189
813,2165
814,2113
815,2018
816,1877
817,1711
818,1535
819,1391
820,1305
821,1293
822,1335
823,1445
824,1575
825,1668
826,1744
827,1822
828,1856
829,1866
830,2067
831,2199
832,1680
833,1530
834,1507
835,1384
836,1361
837,1984
838,2994
839,2887
840,2558
841,2290
842,2211
843,2205
844,2203
845,2159
846,2067
847,1927
848,1761
849,1569
850,1419
851,1316
852,1280
853,1287
854,1405
855,1523
856,1631
857,1727
858,1793
859,1840
860,1886
861,1719
862,2316
863,1715
864,1528
865,1477
866,1355
867,1341
868,2059
869,2953
870,2846
871,2527
872,2289
873,2214
874,2224
875,2196
876,2151
877,2095
878,1991
879,1795
880,1616
881,1466
882,1359
883,1296
884,1296
885,1362
886,1472
887,1603
888,1685
889,1766
890,1823
891,1867
892,1093
893,2449
894,1831
