Time(ms),Raw_ADC
0,1859
1,1865
2,1856
3,1863
4,1859
5,1861
6,1857
7,1858
8,1860
9,1858
10,1857
11,1856
12,1857
13,1857
14,1859
15,1861
16,1861
17,1858
18,1860
19,1862
20,1862
21,1860
22,1862
23,1859
24,1856
25,1855
26,1856
27,1856
28,1853
29,1857
30,1859
31,1861
32,1858
33,1860
34,1862
35,1863
36,1862
37,1863
38,1865
39,1861
40,1863
41,1862
42,1858
43,1857
44,1856
45,1856
46,1858
47,1858
48,1861
49,1860
50,1861
51,1867
52,1865
53,1865
54,1859
55,1857
56,1856
57,1857
58,1855
59,1853
60,1851
61,1857
62,1858
63,1858
64,1857
65,1858
66,1862
67,1859
68,1862
69,1864
70,1863
71,1863
72,1863
73,1862
74,1859
75,1857
76,1861
77,1859
78,1858
79,1859
80,1863
81,1859
82,1861
83,1861
84,1857
85,1857
86,1858
87,1859
88,1857
89,1863
90,1863
91,1858
92,1858
93,1857
94,1857
95,1857
96,1860
97,1859
98,1862
99,1866
100,1863
101,1857
102,1861
103,1863
104,1867
105,1863
106,1862
107,1863
108,1862
109,1859
110,1860
111,1858
112,1860
113,1858
114,1854
115,1855
116,1856
117,1855
118,1861
119,1856
120,1857
121,1867
122,1863
123,1863
124,1862
125,1859
126,1858
127,1857
128,1858
129,1859
130,1853
131,1857
132,1855
133,1859
134,1860
135,1868
136,1862
137,1866
138,1863
139,1859
140,1859
141,1859
142,1857
143,1857
144,1853
145,1851
146,1855
147,1854
148,1855
149,1856
150,1863
151,1865
152,1864
153,1863
154,1865
155,1866
156,1863
157,1861
158,1863
159,1861
160,1862
161,1859
162,1861
163,1857
164,1858
165,1861
166,1861
167,1861
168,1865
169,1865
170,1867
171,1865
172,1862
173,1861
174,1855
175,1854
176,1854
177,1856
178,1850
179,1857
180,1857
181,1860
182,1863
183,1861
184,1863
185,1866
186,1866
187,1860
188,1865
189,1861
190,1861
191,1861
192,1859
193,1861
194,1857
195,1856
196,1858
197,1858
198,1858
199,1866
200,1859
201,1857
202,1858
203,1858
204,1858
205,1858
206,1856
207,1857
208,1855
209,1855
210,1852
211,1855
212,1857
213,1856
214,1859
215,1863
216,1859
217,1861
218,1863
219,1862
220,1865
221,1866
222,1860
223,1862
224,1863
225,1859
226,1861
227,1861
228,1856
229,1861
230,1858
231,1859
232,1860
233,1857
234,1855
235,1856
236,1858
237,1859
238,1861
239,1856
240,1859
241,1861
