Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,MW_Valid,Marker
0,1865.2,12.4,0.0,0.0,249.0,818.0,3.0,1,
100,1850.0,38.8,0.0,0.0,241.0,874.0,4.0,1,
200,1874.8,33.7,0.0,0.0,192.0,818.0,3.0,1,
300,1865.5,9.8,0.0,0.0,223.0,1027.0,3.0,1,
400,1853.8,7.3,0.0,0.0,223.0,1027.0,3.0,1,
500,1860.8,9.5,0.0,237.4,223.0,1027.0,3.0,1,
600,1863.0,8.8,0.0,164.6,223.0,1027.0,3.0,1,
700,1863.1,5.3,0.0,131.7,223.0,1027.0,3.0,1,
800,1861.9,5.2,0.0,83.4,223.0,1027.0,3.0,1,
900,1861.0,3.6,0.0,27.8,223.0,1027.0,3.0,1,
1000,1860.6,3.1,0.0,56.9,223.0,1027.0,3.0,1,
1100,1860.6,6.5,0.0,94.3,223.0,1027.0,3.0,1,
1200,1860.5,8.6,0.0,104.3,223.0,1027.0,3.0,1,
1300,1861.0,9.3,0.0,102.1,223.0,1027.0,3.0,1,
1400,1856.4,36.9,0.0,78.6,115.0,614.0,5.0,1,
1500,1879.7,39.6,0.0,100.6,245.0,1068.0,4.0,1,
1600,1846.2,11.8,45.1,103.1,226.0,768.0,4.0,1,
1700,1853.4,34.1,42.5,102.1,252.0,846.0,4.0,1,
1800,1866.3,51.1,40.5,101.0,228.0,1005.0,3.0,1,
1900,1875.9,36.8,40.3,137.6,242.0,1017.0,4.0,1,
2000,1854.6,6.4,40.4,226.7,242.0,1017.0,4.0,1,
2100,1860.1,6.6,40.4,238.5,242.0,1017.0,4.0,1,
2200,1856.4,10.0,40.4,172.6,242.0,1017.0,4.0,1,
2300,1864.0,5.1,40.5,122.8,242.0,1017.0,4.0,1,
2400,1858.5,5.5,40.5,92.7,242.0,1017.0,4.0,1,
2600,1856.5,8.0,40.5,66.1,242.0,1017.0,4.0,1,
2700,1859.0,4.7,40.6,68.2,242.0,1017.0,4.0,1,
2800,1859.5,6.0,40.6,75.7,242.0,1017.0,4.0,1,
2900,1859.9,7.6,40.6,76.8,242.0,1017.0,4.0,1,
3000,1861.2,31.3,40.5,80.9,242.0,1017.0,4.0,1,
3100,1865.4,12.5,42.4,101.4,219.0,965.0,4.0,1,
3200,1861.6,12.2,41.7,100.8,222.0,956.0,4.0,1,
3300,1859.6,21.6,39.9,101.6,238.0,784.0,3.0,1,
3400,1863.0,35.1,37.6,108.4,195.0,889.0,4.0,1,
3600,1858.6,8.0,35.2,170.9,195.0,889.0,4.0,1,
3700,1865.8,9.8,34.3,153.7,195.0,889.0,4.0,1,
3800,1853.5,8.1,34.4,123.5,195.0,889.0,4.0,1,
3900,1855.3,7.5,34.2,91.1,195.0,889.0,4.0,1,
4000,1859.3,5.3,34.3,87.5,195.0,889.0,4.0,1,
4100,1860.0,4.7,34.3,66.7,195.0,889.0,4.0,1,
4200,1861.2,4.7,34.3,26.4,195.0,889.0,4.0,1,
4300,1861.8,4.8,34.3,28.5,195.0,889.0,4.0,1,
4400,1859.5,5.1,34.3,100.0,195.0,889.0,4.0,1,
4600,1858.9,32.2,34.2,138.2,195.0,889.0,4.0,1,
4700,1865.7,25.5,32.0,138.4,211.0,783.0,3.0,1,
4800,1865.2,77.4,32.8,144.2,220.0,892.0,4.0,1,
4900,1855.5,16.8,38.0,144.5,211.0,686.0,3.0,1,
