Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,MW_Valid,Marker
0,1867.4,20.2,0.0,0.0,0.0,0.0,0.0,0,
100,1862.4,8.5,0.0,0.0,0.0,0.0,0.0,0,
200,1864.3,3.4,0.0,0.0,0.0,0.0,0.0,0,
300,1860.8,3.6,0.0,0.0,0.0,0.0,0.0,0,
400,1860.1,6.4,0.0,0.0,0.0,0.0,0.0,0,
500,1859.2,3.5,0.0,90.0,0.0,0.0,0.0,0,
600,1860.6,3.6,0.0,74.2,0.0,0.0,0.0,0,
700,1861.7,3.0,0.0,74.8,0.0,0.0,0.0,0,
800,1860.6,3.6,0.0,76.0,0.0,0.0,0.0,0,
900,1860.9,228.9,0.0,70.6,1815.0,12146.0,8.0,1,
1000,1867.0,450.3,0.0,65.9,2459.0,10878.0,25.0,0,
1100,1880.3,288.8,0.0,37.3,2770.0,10422.0,26.0,0,
1200,1806.2,420.9,0.0,36.6,2684.0,8840.0,25.0,0,
1300,1868.7,472.1,0.0,65.5,2171.0,9038.0,25.0,0,
1400,1868.2,506.6,0.0,88.1,2083.0,8220.0,27.0,0,
1500,1875.5,279.0,0.0,85.0,865.0,3016.0,12.0,1,
1600,1851.9,16.8,335.5,93.5,865.0,3016.0,12.0,1,
1700,1860.8,17.6,335.6,65.9,865.0,3016.0,12.0,1,
1800,1867.3,14.9,335.6,37.1,865.0,3016.0,12.0,1,
1900,1862.4,11.9,335.7,37.1,865.0,3016.0,12.0,1,
2000,1861.0,8.4,335.7,77.8,865.0,3016.0,12.0,1,
2100,1859.9,6.3,335.7,79.8,865.0,3016.0,12.0,1,
2200,1857.9,5.3,335.7,75.2,865.0,3016.0,12.0,1,
2300,1859.5,4.5,335.7,75.0,865.0,3016.0,12.0,1,
2400,1861.2,4.7,335.7,78.0,865.0,3016.0,12.0,1,
2600,1890.5,173.5,331.8,35.1,2047.0,9769.0,2.0,0,
2700,1824.7,208.5,306.8,36.1,2140.0,10988.0,2.0,0,
2800,1870.8,280.6,282.4,49.4,2810.0,10822.0,2.0,0,
2900,1867.2,325.9,260.6,152.6,2838.0,9941.0,2.0,0,
3000,1889.7,328.6,233.3,167.7,3065.0,9883.0,2.0,0,
3100,1860.3,189.0,202.4,134.8,2957.0,9371.0,2.0,0,
3200,1847.1,14.0,176.6,112.9,2977.0,9957.0,2.0,0,
3300,1861.6,14.6,176.6,142.6,2977.0,9957.0,2.0,0,
3400,1866.7,4.1,176.5,136.9,2977.0,9957.0,2.0,0,
3600,1860.0,7.7,176.5,84.6,2977.0,9957.0,2.0,0,
3700,1857.0,4.8,176.5,82.7,2977.0,9957.0,2.0,0,
3800,1861.5,3.7,176.4,79.5,2977.0,9957.0,2.0,0,
3900,1860.1,3.8,176.4,78.7,2977.0,9957.0,2.0,0,
4000,1859.4,3.7,176.4,82.9,2977.0,9957.0,2.0,0,
4100,1860.1,2.7,176.4,86.0,2977.0,9957.0,2.0,0,
4200,1852.7,270.2,179.3,36.2,2029.0,10339.0,3.0,1,
4300,1867.1,220.4,186.5,35.9,3034.0,12057.0,2.0,0,
4400,1881.1,191.2,189.9,37.3,3132.0,11314.0,2.0,0,
4600,1859.1,274.7,189.3,158.4,2989.0,10207.0,2.0,0,
4700,1832.3,292.6,196.2,167.6,2896.0,9322.0,2.0,0,
4800,1874.6,33.4,201.0,140.6,3024.0,9673.0,2.0,0,
4900,1859.6,15.9,201.1,94.1,3024.0,9673.0,2.0,0,
5000,1864.8,5.2,201.0,90.0,3024.0,9673.0,2.0,0,
5100,1857.4,7.7,201.1,94.7,3024.0,9673.0,2.0,0,
5200,1857.7,3.6,201.2,93.7,3024.0,9673.0,2.0,0,
5300,1859.0,5.3,201.1,84.0,3024.0,9673.0,2.0,0,
5400,1860.9,3.7,201.1,82.5,3024.0,9673.0,2.0,0,
5600,1860.3,4.5,201.1,74.9,3024.0,9673.0,2.0,0,
5700,1860.2,2.4,201.1,82.4,3024.0,9673.0,2.0,0,
5800,1840.0,109.4,194.2,92.0,2170.0,13154.0,5.0,1,
5900,1879.5,264.4,183.0,91.7,2340.0,11065.0,2.0,0,
6000,1915.5,284.1,179.8,92.9,3121.0,11540.0,2.0,0,
6100,1844.0,331.7,183.1,94.6,3018.0,10957.0,2.0,0,
6200,1835.4,176.9,181.1,154.3,3097.0,10002.0,2.0,0,
6300,1873.7,212.3,184.7,167.5,3032.0,9757.0,2.0,0,
6400,1875.7,79.3,176.9,103.4,2788.0,9342.0,2.0,0,
6600,1863.3,4.8,176.8,93.2,2788.0,9342.0,2.0,0,
6700,1860.8,9.9,176.8,36.0,2788.0,9342.0,2.0,0,
6800,1857.5,3.7,176.7,30.2,2788.0,9342.0,2.0,0,
6900,1859.7,4.0,176.7,90.2,2788.0,9342.0,2.0,0,
7000,1860.6,3.1,176.7,78.8,2788.0,9342.0,2.0,0,
7100,1859.7,3.6,176.7,85.3,2788.0,9342.0,2.0,0,
7200,1860.9,3.2,176.7,88.8,2788.0,9342.0,2.0,0,
7300,1860.5,3.5,176.7,90.4,2788.0,9342.0,2.0,0,
7400,1860.1,267.6,176.7,98.9,2320.0,12247.0,3.0,1,
7600,1850.7,191.9,188.6,36.7,2290.0,10315.0,2.0,0,
7700,1853.3,229.0,186.4,89.7,2800.0,11687.0,2.0,0,
7801,1874.3,266.1,177.8,157.6,3014.0,10811.0,2.0,0,
7901,1862.4,325.4,171.6,157.3,2944.0,9549.0,2.0,0,
8001,1895.1,97.0,180.5,182.8,2962.0,9700.0,3.0,1,
8101,1832.2,8.2,175.1,167.3,2962.0,9700.0,3.0,1,
8201,1859.7,12.1,175.3,106.1,2962.0,9700.0,3.0,1,
8301,1868.5,3.8,175.2,135.2,2962.0,9700.0,3.0,1,
8401,1860.3,5.3,175.0,113.3,2962.0,9700.0,3.0,1,
8601,1859.2,5.5,175.2,87.4,2962.0,9700.0,3.0,1,
8701,1860.8,6.8,175.2,88.6,2962.0,9700.0,3.0,1,
8801,1858.6,3.3,175.2,90.1,2962.0,9700.0,3.0,1,
8901,1859.5,3.3,175.3,76.8,2962.0,9700.0,3.0,1,
9001,1860.3,306.7,175.3,72.6,2962.0,9700.0,3.0,1,
9101,1887.2,269.6,179.3,36.9,2204.0,11456.0,2.0,0,
9201,1833.1,292.0,178.8,36.3,2305.0,12272.0,2.0,0,
9301,1866.1,233.4,186.1,40.6,3158.0,11605.0,2.0,0,
9401,1872.4,330.5,184.3,105.9,3004.0,10614.0,2.0,0,
9601,1840.5,230.2,188.1,189.9,2764.0,10231.0,2.0,0,
9701,1847.1,15.7,192.2,159.0,2928.0,9275.0,3.0,1,
9801,1858.1,16.9,192.2,118.0,2928.0,9275.0,3.0,1,
9901,1868.4,4.4,192.2,102.1,2928.0,9275.0,3.0,1,
10001,1861.4,3.7,192.2,125.5,2928.0,9275.0,3.0,1,
10101,1858.8,5.8,192.2,92.0,2928.0,9275.0,3.0,1,
10201,1858.1,3.3,192.1,86.7,2928.0,9275.0,3.0,1,
10301,1859.9,3.7,192.2,73.4,2928.0,9275.0,3.0,1,
10401,1858.6,5.8,192.2,73.5,2928.0,9275.0,3.0,1,
