Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,MW_Valid,Marker
9900,1843.5,214.7,218.9,95.7,0.0,0.0,0.0,0,
10000,1857.7,22.7,226.3,95.7,0.0,0.0,0.0,0,
10100,1858.2,10.9,226.3,95.7,0.0,0.0,0.0,0,
10200,1861.1,11.1,226.3,95.7,0.0,0.0,0.0,0,
10300,1861.0,12.6,226.3,95.7,0.0,0.0,0.0,0,
10400,1861.2,9.3,219.9,93.8,0.0,0.0,0.0,0,
10500,1860.5,11.5,204.3,193.4,0.0,0.0,0.0,0,
10600,1861.3,10.9,184.2,168.0,0.0,0.0,0.0,0,
10700,1860.8,10.8,158.5,150.4,0.0,0.0,0.0,0,
10900,1861.2,12.1,59.0,140.6,0.0,0.0,0.0,0,
11000,1855.4,129.9,52.4,44.9,0.0,0.0,0.0,0,
11100,1867.3,237.6,88.8,46.9,0.0,0.0,0.0,0,
11200,1864.9,214.4,133.5,64.5,0.0,0.0,0.0,0,
11300,1848.7,177.8,161.4,64.5,0.0,0.0,0.0,0,
11400,1861.1,159.3,187.5,66.4,0.0,0.0,0.0,0,
11500,1861.7,210.5,209.3,95.7,0.0,0.0,0.0,0,
11600,1859.7,23.8,222.1,95.7,0.0,0.0,0.0,0,
11700,1858.1,12.3,222.1,95.7,0.0,0.0,0.0,0,
11900,1861.2,9.3,222.1,95.7,0.0,0.0,0.0,0,
12000,1862.0,10.8,216.2,93.8,0.0,0.0,0.0,0,
12100,1860.3,12.0,204.0,166.0,0.0,0.0,0.0,0,
12200,1861.6,10.1,178.0,158.2,0.0,0.0,0.0,0,
12300,1861.0,11.6,153.1,191.4,0.0,0.0,0.0,0,
12400,1860.9,10.7,119.6,201.2,0.0,0.0,0.0,0,
12500,1861.3,10.6,75.4,171.9,0.0,0.0,0.0,0,
12600,1864.7,144.2,53.7,46.9,0.0,0.0,0.0,0,
12700,1860.3,160.5,89.3,39.1,0.0,0.0,0.0,0,
12900,1889.0,246.7,160.8,64.5,0.0,0.0,0.0,0,
13000,1851.8,215.0,192.0,64.5,0.0,0.0,0.0,0,
13100,1864.0,172.9,214.5,66.4,0.0,0.0,0.0,0,
13200,1870.8,31.1,228.5,66.4,0.0,0.0,0.0,0,
13300,1859.6,11.9,228.5,93.8,0.0,0.0,0.0,0,
13400,1862.0,10.3,228.5,93.8,0.0,0.0,0.0,0,
13500,1862.0,11.0,228.5,91.8,0.0,0.0,0.0,0,
13600,1861.6,10.5,222.4,91.8,0.0,0.0,0.0,0,
13700,1860.5,10.2,210.7,205.1,0.0,0.0,0.0,0,
13900,1860.8,12.5,162.7,175.8,0.0,0.0,0.0,0,
14000,1860.9,9.4,124.4,168.0,0.0,0.0,0.0,0,
14100,1861.3,11.6,79.7,160.2,0.0,0.0,0.0,0,
14200,1865.3,140.8,41.2,56.6,0.0,0.0,0.0,0,
14300,1871.5,214.8,83.0,41.0,0.0,0.0,0.0,0,
14400,1843.9,169.1,122.0,50.8,0.0,0.0,0.0,0,
14500,1861.2,153.4,150.9,64.5,0.0,0.0,0.0,0,
14600,1860.5,220.6,177.2,64.5,0.0,0.0,0.0,0,
14700,1887.1,230.3,204.0,66.4,0.0,0.0,0.0,0,
14900,1859.2,12.0,220.8,95.7,0.0,0.0,0.0,0,
15000,1860.5,10.9,220.8,93.8,0.0,0.0,0.0,0,
15100,1862.4,12.2,220.8,93.8,0.0,0.0,0.0,0,
15200,1860.5,10.8,217.2,93.8,0.0,0.0,0.0,0,
15300,1861.5,11.8,204.9,150.4,0.0,0.0,0.0,0,
15400,1860.8,11.6,184.4,140.6,0.0,0.0,0.0,0,
15500,1860.8,10.4,161.7,164.1,0.0,0.0,0.0,0,
15600,1860.2,10.4,132.3,210.9,0.0,0.0,0.0,0,
15700,1860.2,11.0,85.2,216.8,0.0,0.0,0.0,0,
15900,1861.6,181.0,61.0,39.1,0.0,0.0,0.0,0,
16000,1874.7,250.1,108.7,62.5,0.0,0.0,0.0,0,
16100,1842.0,203.9,147.7,64.5,0.0,0.0,0.0,0,
16200,1849.8,171.6,174.8,64.5,0.0,0.0,0.0,0,
16300,1859.3,179.8,199.0,66.4,0.0,0.0,0.0,0,
16400,1859.2,55.6,220.6,95.7,0.0,0.0,0.0,0,
16500,1860.5,14.2,220.6,95.7,0.0,0.0,0.0,0,
16600,1861.4,12.6,220.6,95.7,0.0,0.0,0.0,0,
16700,1862.0,11.2,220.6,93.8,0.0,0.0,0.0,0,
16900,1860.5,11.4,212.4,189.5,0.0,0.0,0.0,0,
17000,1861.3,10.4,192.4,169.9,0.0,0.0,0.0,0,
17100,1861.3,10.1,164.4,177.7,0.0,0.0,0.0,0,
17200,1861.7,12.1,135.3,199.2,0.0,0.0,0.0,0,
17300,1860.5,10.3,96.1,166.0,0.0,0.0,0.0,0,
17400,1880.4,144.8,29.7,97.7,0.0,0.0,0.0,0,
17500,1831.5,157.4,70.3,46.9,0.0,0.0,0.0,0,
17600,1856.4,162.8,113.0,62.5,0.0,0.0,0.0,0,
17700,1856.3,231.1,145.3,64.5,0.0,0.0,0.0,0,
17900,1831.2,204.4,203.5,66.4,0.0,0.0,0.0,0,
18000,1855.2,72.3,225.0,95.7,0.0,0.0,0.0,0,
18100,1863.7,14.5,225.0,95.7,0.0,0.0,0.0,0,
18200,1861.5,10.2,225.0,95.7,0.0,0.0,0.0,0,
18300,1860.6,11.0,225.0,93.8,0.0,0.0,0.0,0,
18400,1860.9,11.3,223.4,93.8,0.0,0.0,0.0,0,
