session,date,subject,status,dur_s,n_burst,ev_per_burst,valid_A_pct,valid_B_pct,ramp_med,ramp_vs_mw_pct,mw_peak_med,n_onset
200949,20260730,subject_1785157956456,ok,603.0,371.0,18.53,100.0,100.0,-110.9,5.7,1969.4,
135004,20260728,subject_1785214065897,ok,603.6,374.0,18.29,100.0,100.0,-32.7,11.7,250.1,
142555,20260728,subject_1785216215099,ok,608.0,376.0,16.45,100.0,100.0,127.7,24.6,694.8,
145638,20260728,subject_1785216215099,ok,621.6,382.0,19.9,100.0,100.0,-128.4,58.6,226.0,
160118,20260728,subject_1785216215099,ok,612.2,375.0,19.13,100.0,100.0,40.4,10.6,378.0,
161149,20260730,subject_1785395438359,ok,602.1,369.0,8.43,100.0,100.0,-265.2,29.5,880.0,
163300,20260730,subject_1785395438359,ok,333.4,206.0,15.06,100.0,100.0,-143.5,32.8,464.1,
164455,20260730,subject_1785397463794,ok,622.0,380.0,20.07,100.0,100.0,-23.6,20.4,99.8,
170005,20260730,subject_1785397463794,ok,602.7,371.0,16.35,100.0,100.0,200.0,26.4,766.5,
174539,20260730,subject_1785397463794,ok,83.5,40.0,10.5,100.0,100.0,9.2,5.5,162.5,
173058,20260730,subject_1785397463794,ok,610.6,376.0,15.2,100.0,100.0,21.5,16.4,311.0,
205037,20260730,subject_1785397463794,ok,602.5,365.0,13.98,100.0,100.0,216.6,26.9,785.8,
174817,20260730,subject_1785397463794,ok,602.5,370.0,19.92,100.0,100.0,-14.6,6.7,274.9,
182148,20260730,subject_1785399031142,ok,30.6,19.0,9.16,96.0,92.5,184.2,39.7,412.5,
182236,20260730,subject_1785399031142,no_onset,16.7,,,,,,,,0.0
171717,20260730,subject_1785399031142,ok,627.4,386.0,12.99,100.0,100.0,293.6,24.7,1100.4,
180556,20260730,subject_1785399031142,ok,602.4,372.0,12.04,100.0,100.0,70.4,16.8,412.5,
182304,20260730,subject_1785399031142,ok,607.9,375.0,8.46,100.0,100.0,73.8,12.5,561.0,
183556,20260730,subject_1785399031142,ok,602.0,370.0,20.02,100.0,100.0,33.4,13.6,263.5,
202322,20260730,subject_1785399031142,ok,601.7,371.0,16.88,100.0,100.0,118.2,26.3,456.8,
203702,20260730,subject_1785399031142,ok,603.1,371.0,4.9,100.0,99.9,220.4,34.7,706.0,
210525,20260730,subject_1785399031142,ok,605.5,374.0,11.5,100.0,100.0,30.4,7.1,479.8,
212014,20260730,subject_1785399031142,ok,663.8,407.0,18.61,100.0,100.0,7.7,11.9,87.5,
215640,20260730,subject_1785399031142,ok,947.7,585.0,15.71,100.0,100.0,-9.6,10.6,91.0,
