Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,MW_Valid,Marker
0,1889.6,15.9,0.0,0.0,0.0,0.0,0.0,0,
100,1857.2,8.0,0.0,0.0,0.0,0.0,0.0,0,
200,1857.5,7.0,0.0,0.0,0.0,0.0,0.0,0,
300,1858.0,6.0,0.0,0.0,0.0,0.0,0.0,0,
400,1858.0,5.5,0.0,0.0,0.0,0.0,0.0,0,
500,1857.6,4.9,0.0,65.8,0.0,0.0,0.0,0,
600,1858.7,4.7,0.0,90.7,0.0,0.0,0.0,0,
700,1858.5,5.1,0.0,100.3,0.0,0.0,0.0,0,
800,1858.7,5.1,0.0,100.4,0.0,0.0,0.0,0,
900,1858.8,8.4,0.0,90.2,0.0,0.0,0.0,0,
1000,1853.5,136.8,0.0,40.2,2033.0,7282.0,5.0,1,
1100,1897.3,61.6,0.0,39.2,3510.0,11421.0,4.0,1,
1200,1872.6,46.2,0.0,40.7,3926.0,13883.0,4.0,1,
1300,1865.2,391.0,0.0,39.7,3872.0,12842.0,3.0,1,
1400,1944.3,82.9,0.0,36.3,3973.0,13056.0,3.0,1,
1500,1851.3,44.1,0.0,29.7,4095.0,13519.0,4.0,1,
1600,1878.0,7.2,140.1,29.5,4095.0,13519.0,4.0,1,
1700,1856.6,4.6,140.2,29.8,4095.0,13519.0,4.0,1,
1800,1856.6,7.0,140.1,34.3,4095.0,13519.0,4.0,1,
1900,1861.3,16.1,140.1,67.0,4095.0,13519.0,4.0,1,
2000,1857.4,5.2,140.2,73.2,4095.0,13519.0,4.0,1,
2100,1857.6,4.3,140.2,67.2,4095.0,13519.0,4.0,1,
2200,1860.2,3.6,140.1,52.4,4095.0,13519.0,4.0,1,
2300,1860.4,4.7,140.1,52.3,4095.0,13519.0,4.0,1,
2400,1860.1,4.3,140.1,91.8,4095.0,13519.0,4.0,1,
2600,1853.3,130.3,140.1,90.3,3108.0,10828.0,3.0,1,
2700,1907.8,99.6,146.2,39.9,3824.0,12432.0,3.0,1,
2800,1889.2,53.5,150.3,39.3,4012.0,13627.0,4.0,1,
2900,1855.6,304.4,150.3,37.9,3789.0,12281.0,3.0,1,
3000,1910.5,120.4,149.7,36.0,3775.0,12480.0,4.0,1,
3100,1887.4,36.4,152.6,29.9,3755.0,11895.0,4.0,1,
3200,1866.0,5.7,152.4,29.5,3542.0,11313.0,5.0,1,
3300,1860.2,7.0,152.4,29.8,3542.0,11313.0,5.0,1,
3400,1857.0,6.6,152.4,30.1,3542.0,11313.0,5.0,1,
3600,1856.0,5.0,152.4,66.5,3542.0,11313.0,5.0,1,
3700,1858.4,4.5,152.4,80.5,3542.0,11313.0,5.0,1,
3800,1858.1,4.8,152.4,68.9,3542.0,11313.0,5.0,1,
3900,1859.1,3.9,152.5,77.5,3542.0,11313.0,5.0,1,
4000,1859.4,6.4,152.5,101.4,3542.0,11313.0,5.0,1,
4100,1859.6,4.2,152.5,115.5,3542.0,11313.0,5.0,1,
4200,1862.4,148.2,152.5,108.8,2336.0,7940.0,4.0,1,
4300,1875.7,128.1,153.7,29.4,3478.0,11265.0,3.0,1,
4400,1885.3,50.6,147.5,29.4,4095.0,14117.0,3.0,1,
4600,1953.8,194.3,142.9,29.7,4070.0,14540.0,3.0,1,
4700,1829.1,56.6,128.4,30.1,4095.0,13882.0,3.0,1,
4800,1870.4,10.3,128.6,34.2,4095.0,14338.0,3.0,1,
4900,1869.4,6.5,128.6,34.3,4095.0,14338.0,3.0,1,
5000,1855.7,3.6,128.6,30.1,4095.0,14338.0,3.0,1,
5100,1858.5,5.3,128.6,30.1,4095.0,14338.0,3.0,1,
5200,1856.6,6.3,128.6,52.5,4095.0,14338.0,3.0,1,
5300,1854.4,5.6,128.6,101.8,4095.0,14338.0,3.0,1,
5400,1861.8,4.2,128.6,99.9,4095.0,14338.0,3.0,1,
5600,1858.4,3.4,128.6,78.5,4095.0,14338.0,3.0,1,
5700,1859.3,4.9,128.6,100.5,4095.0,14338.0,3.0,1,
5800,1858.4,78.2,128.6,100.4,1649.0,6235.0,5.0,1,
5900,1864.8,240.5,111.2,44.4,2580.0,8362.0,5.0,1,
6000,1944.2,74.9,109.7,37.0,4095.0,14972.0,3.0,1,
6100,1824.0,88.0,109.9,36.7,4095.0,14631.0,3.0,1,
6200,1908.7,263.7,92.2,35.7,3469.0,12500.0,3.0,1,
6300,1910.9,59.0,105.2,34.6,4095.0,13629.0,3.0,1,
6400,1848.8,20.7,105.3,29.5,4095.0,13213.0,3.0,1,
6600,1854.1,3.9,105.5,29.5,4095.0,13213.0,3.0,1,
6700,1860.0,8.7,105.5,29.8,4095.0,13213.0,3.0,1,
6800,1863.2,5.3,105.4,38.4,4095.0,13213.0,3.0,1,
6900,1857.8,6.3,105.4,99.3,4095.0,13213.0,3.0,1,
7000,1856.0,4.4,105.5,99.1,4095.0,13213.0,3.0,1,
7100,1856.9,2.9,105.5,99.1,4095.0,13213.0,3.0,1,
7200,1859.4,4.1,105.4,115.1,4095.0,13213.0,3.0,1,
7300,1858.3,3.7,105.5,101.3,4095.0,13213.0,3.0,1,
7400,1858.5,13.7,105.5,100.3,1234.0,4541.0,5.0,1,
7600,1898.6,65.7,88.3,37.1,4026.0,13902.0,3.0,1,
7700,1876.7,46.9,93.2,30.2,4095.0,14067.0,4.0,1,
7800,1878.6,277.1,92.5,34.2,4095.0,14143.0,3.0,1,
7900,1901.8,93.5,97.8,34.7,4058.0,13843.0,3.0,1,
8000,1871.5,23.3,102.1,29.7,4095.0,13878.0,3.0,1,
8100,1874.3,5.0,101.9,29.3,4095.0,13878.0,3.0,1,
8200,1860.8,10.4,101.7,29.4,4095.0,13878.0,3.0,1,
8300,1851.8,4.9,101.9,29.7,4095.0,13878.0,3.0,1,
8400,1856.2,4.4,102.0,30.2,4095.0,13878.0,3.0,1,
8600,1859.6,2.8,101.9,132.5,4095.0,13878.0,3.0,1,
8700,1859.1,3.0,101.9,123.9,4095.0,13878.0,3.0,1,
8800,1859.6,2.7,101.9,100.5,4095.0,13878.0,3.0,1,
8900,1858.8,3.1,101.9,100.5,4095.0,13878.0,3.0,1,
9000,1858.9,9.8,101.9,114.1,713.0,3022.0,4.0,1,
9100,1847.1,97.6,101.9,100.7,1656.0,6164.0,4.0,1,
9200,1905.5,128.3,104.9,41.2,3536.0,11496.0,3.0,1,
9300,1866.0,52.1,117.3,36.4,4095.0,14337.0,3.0,1,
9400,1861.9,221.4,117.3,36.2,4095.0,10176.0,2.0,0,
9600,1883.4,101.9,127.2,78.8,4095.0,11426.0,2.0,0,
9700,1867.7,16.1,147.6,158.5,4095.0,11426.0,2.0,0,
9800,1860.2,5.0,147.6,227.5,4095.0,11426.0,2.0,0,
