Time(ms),ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
6100,3.0,28.0,66.4,0.0,0.0,0.0,
6200,3.2,25.8,101.6,0.0,0.0,0.0,
6200,3.2,25.8,101.6,0.0,0.0,0.0,
6300,2.5,23.1,78.1,0.0,0.0,0.0,
6300,2.5,23.1,78.1,0.0,0.0,0.0,
6400,2.8,21.7,89.8,0.0,0.0,0.0,
6400,2.8,21.7,89.8,0.0,0.0,0.0,
6500,2.7,19.9,101.6,0.0,0.0,0.0,
6500,2.7,19.9,101.6,0.0,0.0,0.0,
6600,3.6,16.9,66.4,0.0,0.0,0.0,
6600,3.6,16.9,66.4,0.0,0.0,0.0,
6700,4.7,14.9,78.1,0.0,0.0,0.0,
6700,4.7,14.9,78.1,0.0,0.0,0.0,
6900,23.6,12.4,62.5,0.0,0.0,0.0,
6900,23.6,12.4,62.5,0.0,0.0,0.0,
7000,21.7,16.6,54.7,0.0,0.0,0.0,
7000,21.7,16.6,54.7,0.0,0.0,0.0,
7100,21.3,19.2,58.6,0.0,0.0,0.0,
7100,21.3,19.2,58.6,0.0,0.0,0.0,
7200,18.6,21.1,62.5,0.0,0.0,0.0,
7200,18.6,21.1,62.5,0.0,0.0,0.0,
7300,15.5,22.0,82.0,0.0,0.0,0.0,
7300,15.5,22.0,82.0,0.0,0.0,0.0,
7400,7.3,22.4,62.5,0.0,0.0,0.0,
7400,7.3,22.4,62.5,0.0,0.0,0.0,
7500,4.7,22.5,66.4,0.0,0.0,0.0,
7500,4.7,22.5,66.4,0.0,0.0,0.0,
7600,2.5,22.4,101.6,0.0,0.0,0.0,
7600,2.5,22.4,101.6,0.0,0.0,0.0,
7700,2.9,22.5,101.6,0.0,0.0,0.0,
7700,2.9,22.5,101.6,0.0,0.0,0.0,
7900,2.6,19.2,132.8,0.0,0.0,0.0,
7900,2.6,19.2,132.8,0.0,0.0,0.0,
8000,3.9,15.6,105.5,0.0,0.0,0.0,
8000,3.9,15.6,105.5,0.0,0.0,0.0,
8100,4.1,12.3,78.1,0.0,0.0,0.0,
8100,4.1,12.3,78.1,0.0,0.0,0.0,
8200,3.4,8.6,97.7,0.0,0.0,0.0,
8200,3.4,8.6,97.7,0.0,0.0,0.0,
8300,2.9,5.9,97.7,0.0,0.0,0.0,
8300,2.9,5.9,97.7,0.0,0.0,0.0,
8400,3.5,4.0,82.0,0.0,0.0,0.0,
8400,3.5,4.0,82.0,0.0,0.0,0.0,
8500,6.6,4.4,82.0,0.0,0.0,0.0,
8500,6.6,4.4,82.0,0.0,0.0,0.0,
8600,19.7,8.0,62.5,0.0,0.0,0.0,
8600,19.7,8.0,62.5,0.0,0.0,0.0,
8700,30.6,15.1,74.2,0.0,0.0,0.0,
8700,30.6,15.1,74.2,0.0,0.0,0.0,
8900,24.5,20.6,78.1,0.0,0.0,0.0,
8900,24.5,20.6,78.1,0.0,0.0,0.0,
9000,17.3,22.5,66.4,0.0,0.0,0.0,
9000,17.3,22.5,66.4,0.0,0.0,0.0,
9100,25.1,24.4,54.7,0.0,0.0,0.0,
9100,25.1,24.4,54.7,0.0,0.0,0.0,
9200,9.6,25.2,70.3,0.0,0.0,0.0,
9200,9.6,25.2,70.3,0.0,0.0,0.0,
9300,6.6,25.3,50.8,0.0,0.0,0.0,
9300,6.6,25.3,50.8,0.0,0.0,0.0,
9400,3.6,25.3,62.5,0.0,0.0,0.0,
9400,3.6,25.3,62.5,0.0,0.0,0.0,
9500,2.5,25.3,70.3,0.0,0.0,0.0,
9500,2.5,25.3,70.3,0.0,0.0,0.0,
9600,2.9,24.3,101.6,0.0,0.0,0.0,
9600,2.9,24.3,101.6,0.0,0.0,0.0,
9700,2.9,20.7,97.7,0.0,0.0,0.0,
9700,2.9,20.7,97.7,0.0,0.0,0.0,
9900,2.9,15.2,97.7,0.0,0.0,0.0,
9900,2.9,15.2,97.7,0.0,0.0,0.0,
10000,2.7,12.3,101.6,0.0,0.0,0.0,
10000,2.7,12.3,101.6,0.0,0.0,0.0,
10100,2.8,7.6,85.9,0.0,0.0,0.0,
10100,2.8,7.6,85.9,0.0,0.0,0.0,
10200,15.7,6.2,74.2,0.0,0.0,0.0,
10200,15.7,6.2,74.2,0.0,0.0,0.0,
10300,27.3,9.9,78.1,0.0,0.0,0.0,
10300,27.3,9.9,78.1,0.0,0.0,0.0,
10400,34.1,17.3,70.3,0.0,0.0,0.0,
10400,34.1,17.3,70.3,0.0,0.0,0.0,
10500,25.6,20.1,62.5,0.0,0.0,0.0,
10500,25.6,20.1,62.5,0.0,0.0,0.0,
10600,22.2,22.1,74.2,0.0,0.0,0.0,
10600,22.2,22.1,74.2,0.0,0.0,0.0,
10700,14.5,23.6,74.2,0.0,0.0,0.0,
10700,14.5,23.6,74.2,0.0,0.0,0.0,
10900,5.4,24.3,62.5,0.0,0.0,0.0,
10900,5.4,24.3,62.5,0.0,0.0,0.0,
11000,2.4,24.3,62.5,0.0,0.0,0.0,
11000,2.4,24.3,62.5,0.0,0.0,0.0,
11100,2.7,24.3,97.7,0.0,0.0,0.0,
11100,2.7,24.3,97.7,0.0,0.0,0.0,
11200,2.7,23.9,128.9,0.0,0.0,0.0,
11200,2.7,23.9,128.9,0.0,0.0,0.0,
11300,2.3,22.5,105.5,0.0,0.0,0.0,
11300,2.3,22.5,105.5,0.0,0.0,0.0,
11400,3.9,17.4,93.8,0.0,0.0,0.0,
11400,3.9,17.4,93.8,0.0,0.0,0.0,
11500,3.8,14.0,74.2,0.0,0.0,0.0,
11500,3.8,14.0,74.2,0.0,0.0,0.0,
11600,4.2,10.8,97.7,0.0,0.0,0.0,
11600,4.2,10.8,97.7,0.0,0.0,0.0,
11700,5.4,7.0,66.4,0.0,0.0,0.0,
11700,5.4,7.0,66.4,0.0,0.0,0.0,
11900,18.5,8.1,43.0,0.0,0.0,0.0,
11900,18.5,8.1,43.0,0.0,0.0,0.0,
12000,32.9,12.2,82.0,0.0,0.0,0.0,
12000,32.9,12.2,82.0,0.0,0.0,0.0,
12100,24.8,17.1,62.5,0.0,0.0,0.0,
12100,24.8,17.1,62.5,0.0,0.0,0.0,
12200,31.2,19.4,66.4,0.0,0.0,0.0,
12200,31.2,19.4,66.4,0.0,0.0,0.0,
12300,29.0,23.5,70.3,0.0,0.0,0.0,
12300,29.0,23.5,70.3,0.0,0.0,0.0,
12400,12.0,24.4,74.2,0.0,0.0,0.0,
12400,12.0,24.4,74.2,0.0,0.0,0.0,
12500,6.6,24.6,66.4,0.0,0.0,0.0,
12500,6.6,24.6,66.4,0.0,0.0,0.0,
12600,3.0,24.6,74.2,0.0,0.0,0.0,
12600,3.0,24.6,74.2,0.0,0.0,0.0,
12700,3.0,24.6,74.2,0.0,0.0,0.0,
12700,3.0,24.6,74.2,0.0,0.0,0.0,
12900,4.7,24.0,109.4,0.0,0.0,0.0,
12900,4.7,24.0,109.4,0.0,0.0,0.0,
13000,3.3,22.2,117.2,0.0,0.0,0.0,
13000,3.3,22.2,117.2,0.0,0.0,0.0,
13100,3.0,18.7,160.2,0.0,0.0,0.0,
13100,3.0,18.7,160.2,0.0,0.0,0.0,
13200,7.5,16.5,128.9,0.0,0.0,0.0,
13200,7.5,16.5,128.9,0.0,0.0,0.0,
13300,9.1,10.0,74.2,0.0,0.0,0.0,
13300,9.1,10.0,74.2,0.0,0.0,0.0,
13400,21.9,9.4,62.5,0.0,0.0,0.0,
13400,21.9,9.4,62.5,0.0,0.0,0.0,
13500,20.9,12.8,62.5,0.0,0.0,0.0,
13500,20.9,12.8,62.5,0.0,0.0,0.0,
13600,28.7,18.5,58.6,0.0,0.0,0.0,
13600,28.7,18.5,58.6,0.0,0.0,0.0,
13700,29.6,21.2,62.5,0.0,0.0,0.0,
13700,29.6,21.2,62.5,0.0,0.0,0.0,
13900,8.1,23.8,62.5,0.0,0.0,0.0,
13900,8.1,23.8,62.5,0.0,0.0,0.0,
14000,5.1,23.9,54.7,0.0,0.0,0.0,
14000,5.1,23.9,54.7,0.0,0.0,0.0,
14100,3.2,23.9,85.9,0.0,0.0,0.0,
14100,3.2,23.9,85.9,0.0,0.0,0.0,
14200,3.2,23.8,89.8,0.0,0.0,0.0,
14200,3.2,23.8,89.8,0.0,0.0,0.0,
14300,2.4,23.7,101.6,0.0,0.0,0.0,
14300,2.4,23.7,101.6,0.0,0.0,0.0,
14400,3.2,22.9,70.3,0.0,0.0,0.0,
14400,3.2,22.9,70.3,0.0,0.0,0.0,
14500,7.7,22.2,66.4,0.0,0.0,0.0,
14500,7.7,22.2,66.4,0.0,0.0,0.0,
14600,4.1,17.7,58.6,0.0,0.0,0.0,
14600,4.1,17.7,58.6,0.0,0.0,0.0,
14700,3.4,14.3,66.4,0.0,0.0,0.0,
14700,3.4,14.3,66.4,0.0,0.0,0.0,
14900,16.6,11.0,66.4,0.0,0.0,0.0,
14900,16.6,11.0,66.4,0.0,0.0,0.0,
15000,21.3,12.0,46.9,0.0,0.0,0.0,
15000,21.3,12.0,46.9,0.0,0.0,0.0,
15100,18.5,14.5,54.7,0.0,0.0,0.0,
15100,18.5,14.5,54.7,0.0,0.0,0.0,
15200,31.8,17.7,54.7,0.0,0.0,0.0,
15200,31.8,17.7,54.7,0.0,0.0,0.0,
15300,27.7,20.4,58.6,0.0,0.0,0.0,
15300,27.7,20.4,58.6,0.0,0.0,0.0,
15400,22.7,22.4,66.4,0.0,0.0,0.0,
15400,22.7,22.4,66.4,0.0,0.0,0.0,
15500,13.3,22.4,58.6,0.0,0.0,0.0,
15500,13.3,22.4,58.6,0.0,0.0,0.0,
15600,6.7,22.5,66.4,0.0,0.0,0.0,
15600,6.7,22.5,66.4,0.0,0.0,0.0,
15700,7.7,22.7,78.1,0.0,0.0,0.0,
15700,7.7,22.7,78.1,0.0,0.0,0.0,
15900,3.3,21.8,62.5,0.0,0.0,0.0,
15900,3.3,21.8,62.5,0.0,0.0,0.0,
16000,2.8,21.1,78.1,0.0,0.0,0.0,
16000,2.8,21.1,78.1,0.0,0.0,0.0,
16100,2.6,19.5,74.2,0.0,0.0,0.0,
16100,2.6,19.5,74.2,0.0,0.0,0.0,
16200,2.2,16.6,101.6,0.0,0.0,0.0,
16200,2.2,16.6,101.6,0.0,0.0,0.0,
16300,2.3,13.2,85.9,0.0,0.0,0.0,
16300,2.3,13.2,85.9,0.0,0.0,0.0,
16400,15.8,9.7,82.0,0.0,0.0,0.0,
16400,15.8,9.7,82.0,0.0,0.0,0.0,
16500,16.7,10.5,62.5,0.0,0.0,0.0,
16500,16.7,10.5,62.5,0.0,0.0,0.0,
16600,29.7,16.2,54.7,0.0,0.0,0.0,
16600,29.7,16.2,54.7,0.0,0.0,0.0,
16700,19.7,19.6,50.8,0.0,0.0,0.0,
16700,19.7,19.6,50.8,0.0,0.0,0.0,
16900,21.7,22.9,62.5,0.0,0.0,0.0,
16900,21.7,22.9,62.5,0.0,0.0,0.0,
17000,8.8,24.0,58.6,0.0,0.0,0.0,
17000,8.8,24.0,58.6,0.0,0.0,0.0,
17100,5.8,24.1,50.8,0.0,0.0,0.0,
17100,5.8,24.1,50.8,0.0,0.0,0.0,
17200,3.1,24.1,109.4,0.0,0.0,0.0,
17200,3.1,24.1,109.4,0.0,0.0,0.0,
17300,2.1,24.1,70.3,0.0,0.0,0.0,
17300,2.1,24.1,70.3,0.0,0.0,0.0,
17400,2.5,24.0,62.5,0.0,0.0,0.0,
17400,2.5,24.0,62.5,0.0,0.0,0.0,
17500,2.5,22.6,101.6,0.0,0.0,0.0,
17500,2.5,22.6,101.6,0.0,0.0,0.0,
17600,2.1,18.8,97.7,0.0,0.0,0.0,
17600,2.1,18.8,97.7,0.0,0.0,0.0,
17700,2.8,14.8,70.3,0.0,0.0,0.0,
17700,2.8,14.8,70.3,0.0,0.0,0.0,
17900,3.3,8.3,93.8,0.0,0.0,0.0,
17900,3.3,8.3,93.8,0.0,0.0,0.0,
18000,4.5,4.0,78.1,0.0,0.0,0.0,
18000,4.5,4.0,78.1,0.0,0.0,0.0,
18100,7.8,4.5,82.0,0.0,0.0,0.0,
18100,7.8,4.5,82.0,0.0,0.0,0.0,
18200,15.2,7.1,66.4,0.0,0.0,0.0,
18200,15.2,7.1,66.4,0.0,0.0,0.0,
18300,31.4,12.7,78.1,0.0,0.0,0.0,
18300,31.4,12.7,78.1,0.0,0.0,0.0,
18400,22.0,16.7,54.7,0.0,0.0,0.0,
18400,22.0,16.7,54.7,0.0,0.0,0.0,
18500,23.0,19.3,58.6,0.0,0.0,0.0,
18500,23.0,19.3,58.6,0.0,0.0,0.0,
18600,24.3,20.3,70.3,0.0,0.0,0.0,
18600,24.3,20.3,70.3,0.0,0.0,0.0,
18700,26.1,22.3,58.6,0.0,0.0,0.0,
18700,26.1,22.3,58.6,0.0,0.0,0.0,
18900,7.0,24.7,46.9,0.0,0.0,0.0,
18900,7.0,24.7,46.9,0.0,0.0,0.0,
19000,6.5,24.9,97.7,0.0,0.0,0.0,
19000,6.5,24.9,97.7,0.0,0.0,0.0,
19100,2.8,24.8,121.1,0.0,0.0,0.0,
19100,2.8,24.8,121.1,0.0,0.0,0.0,
19200,2.9,24.1,117.2,0.0,0.0,0.0,
19200,2.9,24.1,117.2,0.0,0.0,0.0,
19300,2.2,21.7,70.3,0.0,0.0,0.0,
19300,2.2,21.7,70.3,0.0,0.0,0.0,
19400,1.9,18.8,101.6,0.0,0.0,0.0,
19400,1.9,18.8,101.6,0.0,0.0,0.0,
19500,2.5,16.1,97.7,0.0,0.0,0.0,
19500,2.5,16.1,97.7,0.0,0.0,0.0,
19600,7.7,15.0,66.4,0.0,0.0,0.0,
19600,7.7,15.0,66.4,0.0,0.0,0.0,
19700,8.0,12.1,74.2,0.0,0.0,0.0,
19700,8.0,12.1,74.2,0.0,0.0,0.0,
19900,25.1,9.3,74.2,0.0,0.0,0.0,
19900,25.1,9.3,74.2,0.0,0.0,0.0,
20000,22.8,14.3,50.8,0.0,0.0,0.0,
20000,22.8,14.3,50.8,0.0,0.0,0.0,
20100,14.5,15.9,54.7,0.0,0.0,0.0,
20100,14.5,15.9,54.7,0.0,0.0,0.0,
20200,17.6,17.0,62.5,0.0,0.0,0.0,
20200,17.6,17.0,62.5,0.0,0.0,0.0,
20300,16.1,19.7,54.7,0.0,0.0,0.0,
20300,16.1,19.7,54.7,0.0,0.0,0.0,
20400,14.8,20.9,62.5,0.0,0.0,0.0,
20400,14.8,20.9,62.5,0.0,0.0,0.0,
20500,6.0,21.2,43.0,0.0,0.0,0.0,
20500,6.0,21.2,43.0,0.0,0.0,0.0,
20600,2.7,21.1,89.8,0.0,0.0,0.0,
20600,2.7,21.1,89.8,0.0,0.0,0.0,
20700,2.6,20.9,66.4,0.0,0.0,0.0,
20700,2.6,20.9,66.4,0.0,0.0,0.0,
20900,3.7,19.9,125.0,0.0,0.0,0.0,
20900,3.7,19.9,125.0,0.0,0.0,0.0,
21000,2.5,16.3,121.1,0.0,0.0,0.0,
21000,2.5,16.3,121.1,0.0,0.0,0.0,
21100,3.0,14.7,85.9,0.0,0.0,0.0,
21100,3.0,14.7,85.9,0.0,0.0,0.0,
21200,2.1,13.5,82.0,0.0,0.0,0.0,
21200,2.1,13.5,82.0,0.0,0.0,0.0,
21300,4.0,9.1,89.8,0.0,0.0,0.0,
21300,4.0,9.1,89.8,0.0,0.0,0.0,
21400,6.9,5.8,101.6,0.0,0.0,0.0,
21400,6.9,5.8,101.6,0.0,0.0,0.0,
