Time_ms,Stim_Index,Sample_Index,Drift_ms,Spike,P2P,Area,R,Valid,Sat_Win,Sat_Spike,MCU_State,Level,Marker,Samples
3762,1,3761,1.0,1059,1278,2347,2.2162,1,0,0,RUNNING,0,,-408;-210;-1242;-194;-13;-24;-46;-43;-40;-39;-25;-20;7;36
3790,2,3789,1.0,1220,1258,3210,2.6311,1,0,0,RUNNING,0,,-877;-430;-190;-104;-65;-1177;-156;81;69;17;-7;-14;-10;-13
3820,3,3819,1.0,1285,1151,3157,2.4568,1,0,0,RUNNING,0,,-1058;-553;-245;-124;-54;-13;-497;-329;93;90;49;23;8;-21
3851,4,3850,1.0,1306,1311,2941,2.2519,1,0,0,RUNNING,0,,-979;-481;-218;-117;-55;-11;332;-465;79;100;66;35;-1;-2
3881,5,3880,1.0,1199,1781,4405,3.6739,1,0,0,RUNNING,0,,-1198;-793;-386;-186;-111;-56;-6;583;-785;47;116;77;38;23
3909,6,3908,1.0,769,1354,6306,8.2003,1,0,0,RUNNING,0,,-398;-904;-1235;-1159;-743;-351;-167;-88;-39;-8;23;-1061;-11;119
3937,7,3936,1.0,1199,2508,7413,6.1827,1,0,0,RUNNING,0,,1229;797;192;-395;-925;-1279;-1203;-758;-344;-152;-79;-34;-3;23
3968,8,3967,1.0,1235,2553,7407,5.9976,1,0,0,RUNNING,0,,1256;789;146;-453;-997;-1297;-1148;-701;-329;-154;-77;-23;9;28
3999,9,3998,1.0,1207,2538,7443,6.1665,1,0,0,RUNNING,0,,1239;774;136;-467;-999;-1299;-1163;-717;-335;-153;-74;-30;10;47
4030,10,4029,1.0,1160,2549,7719,6.6543,1,0,0,RUNNING,0,,1277;893;267;-353;-903;-1272;-1221;-792;-392;-181;-93;-34;10;31
4061,11,4060,1.0,1092,2491,7800,7.1429,1,0,0,RUNNING,0,,1270;957;341;-269;-824;-1218;-1221;-865;-438;-184;-90;-72;-50;1
4092,12,4091,1.0,1065,2542,8012,7.5230,1,0,0,RUNNING,0,,1293;1027;449;-177;-753;-1192;-1249;-913;-472;-231;-135;-73;-13;35
4123,13,4122,1.0,975,2528,8156,8.3651,1,0,0,RUNNING,0,,1265;1110;568;-51;-617;-1103;-1263;-1029;-579;-279;-155;-88;-48;1
4154,14,4153,1.0,921,2465,8184,8.8860,1,0,0,RUNNING,0,,1224;1149;639;-15;-601;-1048;-1241;-1039;-600;-309;-173;-95;-42;-9
4185,15,4184,1.0,853,2423,8239,9.6589,1,0,0,RUNNING,0,,1166;1160;695;116;-475;-990;-1257;-1103;-669;-329;-149;-77;-36;17
4216,16,4215,1.0,777,2405,8479,10.9125,1,0,0,RUNNING,0,,1121;1199;819;241;-342;-858;-1206;-1163;-801;-406;-194;-92;-33;4
4247,17,4246,1.0,687,2441,8699,12.6623,1,0,0,RUNNING,0,,1034;1223;963;401;-200;-742;-1162;-1218;-905;-472;-217;-106;-50;-6
4278,18,4277,1.0,615,2468,8921,14.5057,1,0,0,RUNNING,0,,959;1219;1053;531;-72;-639;-1097;-1249;-995;-578;-290;-149;-66;-24
4310,19,4309,1.0,873,2407,8139,9.3230,1,0,0,RUNNING,0,,1169;1129;658;54;-518;-1006;-1238;-1082;-662;-329;-161;-87;-24;22
4341,20,4340,1.0,817,2363,8333,10.1995,1,0,0,RUNNING,0,,1119;1161;767;195;-398;-903;-1202;-1119;-714;-354;-186;-127;-65;-23
5356,21,5355,1.0,1059,179,599,0.5656,1,0,0,RUNNING,0,,72;59;17;-7;-17;-24;-26;-51;-55;-43;-21;11;72;124
