Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,1850.5,26.2,0.0,0.0,0.0,0.0,0.0,
100,1853.7,43.0,0.0,0.0,0.0,0.0,0.0,
200,1866.5,53.1,0.0,0.0,0.0,0.0,0.0,
300,1885.5,46.9,0.0,0.0,59.0,373.0,22.0,
400,1858.2,30.8,0.0,0.0,59.0,373.0,22.0,
500,1849.0,18.9,0.0,224.6,59.0,373.0,22.0,
600,1862.8,3.9,0.0,222.7,59.0,373.0,22.0,
700,1863.4,1.9,0.0,193.4,59.0,373.0,22.0,
800,1862.9,1.5,0.0,193.4,59.0,373.0,22.0,
900,1862.8,1.8,99.8,195.3,59.0,373.0,22.0,
1000,1862.9,2.3,99.1,66.4,59.0,373.0,22.0,
1100,1863.1,1.8,96.8,66.4,59.0,373.0,22.0,
1200,1862.6,2.0,84.8,66.4,59.0,373.0,22.0,
1300,1863.4,2.4,39.5,68.4,59.0,373.0,22.0,
1400,1863.5,2.3,17.9,66.4,59.0,373.0,22.0,
1500,1863.5,20.6,2.7,43.0,59.0,373.0,22.0,
1600,1855.3,20.6,15.7,177.7,59.0,373.0,22.0,
1700,1852.5,27.1,28.7,181.6,59.0,373.0,22.0,
1900,1876.1,71.8,84.6,224.6,70.0,384.0,27.0,
2000,1872.9,46.3,102.8,226.6,69.0,407.0,24.0,
2100,1851.3,29.5,105.4,224.6,69.0,407.0,24.0,
2200,1858.9,4.0,105.4,224.6,69.0,407.0,24.0,
2300,1863.7,2.1,105.4,193.4,69.0,407.0,24.0,
2400,1863.1,2.3,105.4,191.4,69.0,407.0,24.0,
2500,1863.8,2.4,105.4,193.4,69.0,407.0,24.0,
2600,1863.4,1.8,104.3,123.0,69.0,407.0,24.0,
2700,1863.5,2.7,101.5,44.9,69.0,407.0,24.0,
2900,1863.6,2.1,63.0,66.4,69.0,407.0,24.0,
3000,1863.0,2.1,23.8,66.4,69.0,407.0,24.0,
3100,1863.1,2.6,4.9,66.4,69.0,407.0,24.0,
3200,1873.7,40.0,47.3,224.6,69.0,407.0,24.0,
3300,1852.5,32.8,50.2,224.6,69.0,407.0,24.0,
3400,1852.2,38.5,55.0,222.7,69.0,407.0,24.0,
3500,1866.3,41.2,75.1,214.8,69.0,407.0,24.0,
3600,1872.1,75.4,98.8,224.6,72.0,419.0,29.0,
3700,1874.2,61.3,117.5,224.6,74.0,444.0,25.0,
3900,1863.0,2.6,119.4,222.7,74.0,444.0,25.0,
4000,1863.5,2.1,119.4,195.3,74.0,444.0,25.0,
4100,1863.0,1.8,119.4,191.4,74.0,444.0,25.0,
4200,1863.0,2.0,109.6,154.3,74.0,444.0,25.0,
4300,1863.3,2.4,108.3,66.4,74.0,444.0,25.0,
4400,1863.6,1.9,106.0,66.4,74.0,444.0,25.0,
4500,1862.2,2.1,92.8,64.5,74.0,444.0,25.0,
4600,1863.0,2.2,67.0,72.3,74.0,444.0,25.0,
4700,1863.3,1.7,21.1,78.1,74.0,444.0,25.0,
4900,1866.5,35.4,76.0,226.6,54.0,364.0,21.0,
5000,1848.0,38.7,78.4,224.6,54.0,364.0,21.0,
5100,1852.6,54.2,83.8,224.6,54.0,364.0,21.0,
5200,1864.3,58.5,97.5,193.4,54.0,364.0,21.0,
5300,1884.4,52.5,125.7,224.6,75.0,451.0,26.0,
5400,1863.2,8.3,131.5,224.6,73.0,475.0,27.0,
5500,1863.2,2.4,131.5,224.6,73.0,475.0,27.0,
5600,1863.4,1.8,131.5,224.6,73.0,475.0,27.0,
5700,1863.3,2.2,131.5,222.7,73.0,475.0,27.0,
5900,1863.5,1.8,107.3,35.2,73.0,475.0,27.0,
6000,1862.5,2.0,105.6,35.2,73.0,475.0,27.0,
6100,1863.4,2.7,101.4,66.4,73.0,475.0,27.0,
6200,1863.1,1.6,88.3,66.4,73.0,475.0,27.0,
6300,1863.0,2.2,38.9,48.8,73.0,475.0,27.0,
6400,1866.7,53.1,35.5,226.6,73.0,475.0,27.0,
6500,1874.0,60.1,65.6,226.6,57.0,333.0,21.0,
6600,1875.0,41.4,85.9,226.6,57.0,333.0,21.0,
6700,1844.5,29.5,88.5,224.6,57.0,333.0,21.0,
6900,1865.4,70.0,108.3,193.4,70.0,436.0,29.0,
7000,1870.5,11.4,121.1,224.6,72.0,452.0,28.0,
7100,1862.9,1.8,121.1,226.6,72.0,452.0,28.0,
7200,1863.3,2.2,121.1,224.6,72.0,452.0,28.0,
7300,1863.4,2.4,121.1,224.6,72.0,452.0,28.0,
7400,1863.0,2.1,115.8,224.6,72.0,452.0,28.0,
7500,1863.0,2.2,101.9,35.2,72.0,452.0,28.0,
7600,1864.0,2.9,85.5,52.7,72.0,452.0,28.0,
7700,1863.3,1.7,82.7,66.4,72.0,452.0,28.0,
7900,1863.5,2.5,54.3,66.4,72.0,452.0,28.0,
8000,1866.3,30.7,27.6,226.6,72.0,452.0,28.0,
8100,1866.7,35.7,57.8,226.6,72.0,452.0,28.0,
8200,1875.5,72.0,87.4,226.6,63.0,408.0,24.0,
8300,1863.7,46.9,97.8,224.6,71.0,455.0,22.0,
8400,1848.1,41.0,100.2,224.6,71.0,455.0,22.0,
8500,1859.3,41.6,110.2,195.3,71.0,455.0,22.0,
8600,1862.9,15.6,120.1,197.3,73.0,470.0,30.0,
8700,1862.8,3.0,120.1,224.6,73.0,470.0,30.0,
8900,1863.2,1.9,120.1,226.6,73.0,470.0,30.0,
9000,1862.5,2.0,116.9,224.6,73.0,470.0,30.0,
9100,1863.8,2.6,105.3,74.2,73.0,470.0,30.0,
9200,1862.7,1.6,82.4,80.1,73.0,470.0,30.0,
9300,1862.8,2.0,69.7,97.7,73.0,470.0,30.0,
9400,1863.6,2.4,66.2,121.1,73.0,470.0,30.0,
9500,1863.5,2.2,47.6,80.1,73.0,470.0,30.0,
9600,1859.4,28.3,8.7,121.1,73.0,470.0,30.0,
9700,1857.0,46.3,28.7,222.7,73.0,470.0,30.0,
9900,1875.5,61.5,102.2,224.6,143.0,571.0,7.0,
10000,1856.1,64.0,111.1,224.6,363.0,1067.0,7.0,
10100,1847.5,76.1,116.0,224.6,363.0,1067.0,7.0,
10200,1857.9,31.4,125.0,193.4,363.0,1067.0,7.0,
10300,1863.0,3.6,125.0,193.4,363.0,1067.0,7.0,
10400,1863.7,2.0,125.0,195.3,363.0,1067.0,7.0,
10500,1863.6,3.0,125.0,195.3,363.0,1067.0,7.0,
10600,1865.1,3.4,124.8,195.3,363.0,1067.0,7.0,
10700,1863.4,2.3,121.7,138.7,363.0,1067.0,7.0,
10900,1863.8,2.2,72.1,146.5,363.0,1067.0,7.0,
11000,1864.2,2.7,57.4,142.6,363.0,1067.0,7.0,
11100,1863.9,2.7,46.7,93.8,363.0,1067.0,7.0,
11200,1866.7,19.3,17.0,175.8,363.0,1067.0,7.0,
11300,1849.4,17.4,21.6,191.4,363.0,1067.0,7.0,
11400,1855.9,57.8,37.2,191.4,363.0,1067.0,7.0,
11500,1867.8,82.4,66.7,212.9,268.0,816.0,7.0,
11600,1889.6,74.3,106.2,226.6,198.0,702.0,7.0,
11700,1859.0,56.0,115.9,226.6,287.0,949.0,7.0,
11900,1859.8,4.0,121.2,193.4,287.0,949.0,7.0,
12000,1862.5,1.9,121.2,191.4,287.0,949.0,7.0,
12100,1864.0,2.7,121.2,191.4,287.0,949.0,7.0,
12200,1862.8,1.8,120.1,191.4,287.0,949.0,7.0,
12300,1862.5,2.1,119.3,168.0,287.0,949.0,7.0,
12400,1862.7,1.8,115.4,101.6,287.0,949.0,7.0,
12500,1862.7,1.8,101.3,78.1,287.0,949.0,7.0,
12600,1862.6,2.2,58.6,74.2,287.0,949.0,7.0,
12700,1863.0,2.0,35.5,113.3,287.0,949.0,7.0,
12900,1863.9,29.6,35.8,220.7,287.0,949.0,7.0,
13000,1853.8,33.7,44.2,216.8,287.0,949.0,7.0,
13100,1860.8,47.7,65.3,203.1,287.0,949.0,7.0,
