Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,1861.7,1.8,0.0,0.0,0.0,0.0,0.0,
100,1862.8,1.8,0.0,0.0,0.0,0.0,0.0,
200,1862.6,2.3,0.0,0.0,0.0,0.0,0.0,
300,1862.1,1.5,0.0,0.0,0.0,0.0,0.0,
400,1862.3,2.2,0.0,0.0,0.0,0.0,0.0,
500,1862.1,1.3,0.0,68.4,0.0,0.0,0.0,
600,1861.9,2.0,0.0,101.6,0.0,0.0,0.0,
700,1862.2,1.6,0.0,123.0,0.0,0.0,0.0,
800,1861.6,1.8,0.0,107.4,0.0,0.0,0.0,
900,1862.0,1.9,2.5,68.4,0.0,0.0,0.0,
1000,1861.6,2.1,2.5,97.7,0.0,0.0,0.0,
1100,1861.6,1.7,2.4,117.2,0.0,0.0,0.0,
1200,1861.5,1.9,2.4,103.5,0.0,0.0,0.0,
1300,1861.8,2.0,2.4,74.2,0.0,0.0,0.0,
1400,1862.0,1.5,2.4,99.6,0.0,0.0,0.0,
1500,1862.1,1.7,2.4,68.4,0.0,0.0,0.0,
1600,1862.1,1.9,2.4,84.0,0.0,0.0,0.0,
1700,1862.2,1.9,2.4,85.9,0.0,0.0,0.0,
1900,1862.5,1.8,2.4,80.1,0.0,0.0,0.0,
2000,1862.0,2.0,2.4,99.6,0.0,0.0,0.0,
2100,1861.6,3.6,2.4,70.3,0.0,0.0,0.0,
2200,1864.7,6.5,3.0,66.4,0.0,0.0,0.0,
2300,1863.6,4.9,3.6,62.5,0.0,0.0,0.0,
2400,1863.2,5.8,4.1,60.5,0.0,0.0,0.0,
2500,1863.7,6.2,4.5,60.5,0.0,0.0,0.0,
2600,1863.8,4.6,4.9,60.5,0.0,0.0,0.0,
2700,1864.2,5.9,5.3,60.5,0.0,0.0,0.0,
2900,1864.0,5.2,5.9,60.5,0.0,0.0,0.0,
3000,1864.0,5.3,6.2,60.5,0.0,0.0,0.0,
3100,1863.9,6.0,6.5,60.5,0.0,0.0,0.0,
3200,1864.0,4.9,6.6,60.5,0.0,0.0,0.0,
3300,1863.8,5.7,6.6,60.5,0.0,0.0,0.0,
3400,1863.6,6.0,6.5,60.5,0.0,0.0,0.0,
3500,1863.2,5.0,6.6,60.5,0.0,0.0,0.0,
3600,1863.8,5.9,6.6,60.5,0.0,0.0,0.0,
3700,1863.2,6.1,6.5,60.5,0.0,0.0,0.0,
3900,1863.0,5.9,6.6,60.5,0.0,0.0,0.0,
4000,1862.5,5.8,6.5,60.5,0.0,0.0,0.0,
