Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,1867.8,93.2,0.0,0.0,0.0,0.0,0.0,
100,1872.7,99.5,0.0,0.0,0.0,0.0,0.0,
200,1866.3,130.4,0.0,0.0,0.0,0.0,0.0,
300,1860.5,125.2,0.0,0.0,0.0,0.0,0.0,
400,1844.0,127.0,0.0,0.0,0.0,0.0,0.0,
500,1866.6,83.0,0.0,195.3,0.0,0.0,0.0,
600,1864.3,15.7,0.0,224.6,0.0,0.0,0.0,
700,1864.0,8.9,0.0,195.3,0.0,0.0,0.0,
800,1859.4,8.2,0.0,193.4,0.0,0.0,0.0,
900,1862.7,5.5,125.1,191.4,0.0,0.0,0.0,
1000,1862.9,3.7,123.6,162.1,0.0,0.0,0.0,
1100,1861.7,6.3,117.5,82.0,0.0,0.0,0.0,
1200,1862.5,4.9,110.3,78.1,0.0,0.0,0.0,
1300,1862.6,5.0,98.0,85.9,0.0,0.0,0.0,
1400,1862.7,4.9,75.6,85.9,0.0,0.0,0.0,
1500,1862.3,30.9,47.3,89.8,0.0,0.0,0.0,
1600,1858.6,85.3,19.2,101.6,0.0,0.0,0.0,
1700,1865.0,84.4,38.7,173.8,0.0,0.0,0.0,
1900,1878.5,93.8,73.5,132.8,0.0,0.0,0.0,
2000,1859.7,104.0,84.0,128.9,0.0,0.0,0.0,
2100,1849.9,91.2,97.6,128.9,0.0,0.0,0.0,
2200,1851.3,14.5,108.5,130.9,0.0,0.0,0.0,
2300,1862.6,6.7,108.6,224.6,0.0,0.0,0.0,
2400,1859.2,5.5,108.6,226.6,0.0,0.0,0.0,
2500,1860.9,3.3,108.6,226.6,0.0,0.0,0.0,
2600,1862.8,3.0,107.3,210.9,0.0,0.0,0.0,
2700,1862.2,3.1,101.8,101.6,0.0,0.0,0.0,
2900,1861.4,4.0,80.2,76.2,0.0,0.0,0.0,
3000,1862.9,3.3,69.1,72.3,0.0,0.0,0.0,
3100,1862.9,4.5,48.1,76.2,0.0,0.0,0.0,
3200,1865.8,67.6,9.2,82.0,0.0,0.0,0.0,
3300,1847.7,95.2,34.4,158.2,0.0,0.0,0.0,
3400,1861.3,98.3,52.9,191.4,0.0,0.0,0.0,
3500,1867.5,90.8,68.0,193.4,0.0,0.0,0.0,
3600,1876.5,76.0,84.3,193.4,0.0,0.0,0.0,
3700,1869.8,100.6,94.8,171.9,0.0,0.0,0.0,
3900,1862.5,8.5,104.6,195.3,0.0,0.0,0.0,
