Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
10201,1859.1,43.6,79.4,121.1,349.0,1817.0,14.0,
10301,1862.1,37.5,73.5,121.1,349.0,1817.0,14.0,
10401,1860.2,43.9,67.1,119.1,349.0,1817.0,14.0,
10501,1860.9,40.7,60.7,119.1,349.0,1817.0,14.0,
10601,1862.3,43.5,53.6,119.1,349.0,1817.0,14.0,
10801,1870.2,74.2,53.1,119.1,349.0,1817.0,14.0,
10901,1865.5,78.3,59.9,119.1,349.0,1817.0,14.0,
11001,1866.3,79.1,66.2,119.1,349.0,1817.0,14.0,
11101,1866.0,68.5,71.2,119.1,349.0,1817.0,14.0,
11201,1868.9,79.8,76.2,119.1,349.0,1817.0,14.0,
11301,1862.2,67.9,79.5,119.1,349.0,1817.0,14.0,
11401,1858.6,45.1,80.9,119.1,349.0,1817.0,14.0,
11501,1861.8,39.4,81.1,119.1,349.0,1817.0,14.0,
11601,1858.2,41.2,81.2,119.1,349.0,1817.0,14.0,
11801,1859.5,42.1,75.9,119.1,349.0,1817.0,14.0,
11901,1860.8,38.8,70.6,119.1,349.0,1817.0,14.0,
12001,1861.2,43.8,65.5,119.1,349.0,1817.0,14.0,
12101,1859.1,42.7,60.7,121.1,349.0,1817.0,14.0,
12201,1859.3,50.7,54.6,121.1,349.0,1817.0,14.0,
12301,1862.3,50.9,50.6,119.1,349.0,1817.0,14.0,
12401,1862.0,73.4,54.4,119.1,349.0,1817.0,14.0,
12501,1862.2,69.1,59.8,119.1,349.0,1817.0,14.0,
12601,1857.4,60.4,63.4,119.1,349.0,1817.0,14.0,
12801,1846.5,69.9,72.4,119.1,349.0,1817.0,14.0,
12901,1854.2,80.8,76.6,119.1,349.0,1817.0,14.0,
13001,1853.4,47.2,78.9,121.1,349.0,1817.0,14.0,
13101,1861.0,49.8,79.1,121.1,349.0,1817.0,14.0,
13201,1859.8,55.4,79.5,121.1,349.0,1817.0,14.0,
13301,1860.2,47.4,79.3,119.1,349.0,1817.0,14.0,
13401,1861.1,47.7,75.9,119.1,349.0,1817.0,14.0,
13501,1859.5,42.4,72.0,121.1,349.0,1817.0,14.0,
13601,1858.7,44.7,69.4,121.1,349.0,1817.0,14.0,
13801,1861.5,43.1,60.8,119.1,349.0,1817.0,14.0,
13901,1860.8,47.5,56.0,121.1,349.0,1817.0,14.0,
14001,1886.3,84.2,59.3,119.1,349.0,1817.0,14.0,
14101,1850.8,87.4,75.4,121.1,349.0,1817.0,14.0,
14201,1849.2,78.1,87.8,164.1,349.0,1817.0,14.0,
14301,1854.7,100.8,98.9,224.6,349.0,1817.0,14.0,
14401,1845.1,79.9,107.9,226.6,349.0,1817.0,14.0,
14501,1844.3,86.0,116.3,226.6,349.0,1817.0,14.0,
14601,1857.5,50.5,118.3,226.6,349.0,1817.0,14.0,
14801,1858.4,46.7,118.1,162.1,349.0,1817.0,14.0,
14901,1864.4,41.6,118.0,121.1,349.0,1817.0,14.0,
15001,1862.1,45.9,114.8,119.1,349.0,1817.0,14.0,
15101,1856.9,39.3,104.6,119.1,349.0,1817.0,14.0,
15201,1861.1,45.4,94.0,119.1,349.0,1817.0,14.0,
15301,1861.6,43.5,81.8,119.1,349.0,1817.0,14.0,
15401,1863.0,43.7,69.0,121.1,349.0,1817.0,14.0,
15501,1859.3,47.8,53.5,119.1,349.0,1817.0,14.0,
15601,1855.4,95.7,60.0,119.1,349.0,1817.0,14.0,
15801,1835.4,85.4,92.0,169.9,349.0,1817.0,14.0,
15901,1838.9,87.0,103.8,224.6,349.0,1817.0,14.0,
16001,1849.0,92.3,111.4,226.6,349.0,1817.0,14.0,
16101,1850.2,88.2,118.0,226.6,349.0,1817.0,14.0,
16201,1847.1,55.7,122.3,226.6,349.0,1817.0,14.0,
16301,1859.5,46.2,122.4,224.6,349.0,1817.0,14.0,
16401,1860.2,44.6,122.5,162.1,349.0,1817.0,14.0,
16501,1862.5,53.1,122.9,121.1,349.0,1817.0,14.0,
16601,1858.8,48.3,117.9,119.1,349.0,1817.0,14.0,
16801,1859.7,40.8,95.5,119.1,349.0,1817.0,14.0,
