Time(ms),Raw_ADC
0,1643
1,1710
2,1744
3,1794
4,1825
5,1847
6,1871
7,1898
8,1887
9,1895
10,1883
11,1881
12,1021
13,2199
14,1871
15,1938
16,1984
17,1871
18,1371
19,1975
20,2527
21,2275
22,2112
23,2065
24,2061
25,1972
26,1826
27,1674
28,1535
29,1498
30,1526
31,1594
32,1652
33,1715
34,1759
35,1800
36,1845
37,1883
38,1903
39,1903
40,1922
41,1914
42,1911
43,1487
44,2239
45,1887
46,1903
47,1964
48,1871
49,1436
50,1748
51,2524
52,2322
53,2131
54,2067
55,2061
56,2020
57,1904
58,1739
59,1611
60,1535
61,1511
62,1535
63,1615
64,1680
65,1731
66,1775
67,1799
68,1841
69,1874
70,1917
71,1929
72,1935
73,1943
74,2097
75,2234
76,1947
77,1887
78,1970
79,1883
80,1510
81,1616
82,2491
83,2311
84,2102
85,2064
86,2069
87,2031
88,1925
89,1778
90,1654
91,1553
92,1529
93,1570
94,1626
95,1671
96,1698
97,1730
98,1801
99,1826
100,1877
101,1899
102,1904
103,1911
104,1915
105,1919
106,1927
107,1922
108,1905
109,1895
110,1882
111,1874
112,1856
113,1855
114,1845
115,1855
116,1851
117,1860
118,1871
119,1876
120,1885
121,1882
122,1887
123,1891
124,1895
125,1877
126,1856
127,1861
128,1847
129,1850
130,1839
131,1840
132,1843
133,1846
134,1864
135,1869
136,1872
137,1877
138,1877
139,1883
140,1884
141,1873
142,1859
143,1852
144,1836
145,1839
146,1838
147,1836
148,1842
149,1839
150,1855
151,1851
152,1865
153,1877
154,1879
155,1877
156,1890
157,1884
158,1869
159,1856
160,1855
161,1843
162,1828
163,1836
164,1837
165,1840
166,1851
167,1853
168,1856
169,1858
170,1872
171,1871
172,1877
173,1889
174,1883
175,1865
176,1859
177,1840
178,1842
179,1827
180,1825
181,1839
182,1850
183,1865
184,1897
185,1920
186,1924
187,1931
188,1903
189,1895
190,1879
191,1854
192,1854
193,1850
194,1771
195,1774
196,1811
197,1877
198,1838
199,1831
200,1866
